,average,country,genre,language,release_date,title,votes
15,8.4, 日本,"['剧情', '爱情', '动画']", 日语,2016-12-02,你的名字。 君の名は。,1004620.0
16,9.3, 美国 / 英国,"['剧情', '科幻', '悬疑', '冒险']", 英语 / 日语 / 法语,2010-09-01,盗梦空间 Inception,1502607.0
17,9.3, 美国,"['剧情', '科幻']", 英语,1998-06-05,楚门的世界 The Truman Show,1125857.0
18,7.9, 中国大陆,"['科幻', '冒险', '灾难']", 汉语普通话 / 英语 / 俄语 / 法语 / 日语 / 韩语 / 印尼语,2019-02-05,流浪地球,1550959.0
19,9.3, 意大利,"['剧情', '音乐']", 英语 / 法语 / 意大利语,2019-11-15,海上钢琴师 La leggenda del pianista sull'oceano,1253150.0
20,8.8, 中国大陆 / 中国香港,"['剧情', '喜剧', '动作', '西部']", 汉语普通话 / 四川话 / 山西话,2010-12-16,让子弹飞,1174344.0
21,7.7, 中国大陆,['剧情'], 汉语普通话,2019-09-30,我和我的祖国,756660.0
22,9.2, 中国香港 / 中国大陆,"['喜剧', '爱情', '奇幻', '古装']", 粤语 / 汉语普通话,1995-02-04,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,1103600.0
23,8.5, 韩国,"['动作', '惊悚', '灾难']", 韩语,2016-05-13,釜山行 부산행,826213.0
24,9.1, 美国,"['剧情', '家庭', '传记']", 英语 / 粤语,2008-01-17,当幸福来敲门 The Pursuit of Happyness,1115251.0
25,9.3, 美国 / 英国 / 加拿大 / 冰岛,"['剧情', '科幻', '冒险']", 英语,2014-11-12,星际穿越 Interstellar,1125867.0
26,9.2, 日本,"['动画', '奇幻', '冒险']", 日语,2018-12-14,龙猫 となりのトトロ,932245.0
27,8.7, 韩国,"['剧情', '喜剧']", 韩语 / 英语,2019-05-21,寄生虫 기생충,989787.0
28,9.1, 黎巴嫩 / 法国 / 美国,['剧情'], 阿拉伯语 / 阿姆哈拉语,2019-04-29,何以为家 كفرناحوم,680954.0
29,9.4, 美国 / 英国,['剧情'], 英语 / 日语,2009-06-13,忠犬八公的故事 Hachi: A Dog's Tale,1045718.0
30,9.0, 美国,"['剧情', '喜剧', '动画', '冒险']", 英语,2009-08-04,飞屋环游记 Up,977714.0
31,8.7, 美国,"['动作', '科幻', '冒险']", 英语 / 日语 / 汉语普通话,2018-03-30,头号玩家 Ready Player One,1030529.0
32,9.0, 中国香港 / 中国大陆,"['喜剧', '爱情', '奇幻', '古装']", 粤语 / 汉语普通话,1995-01-21,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,882986.0
33,9.3, 法国 / 瑞士 / 德国,"['剧情', '音乐']", 法语,2004-10-16,放牛班的春天 Les choristes,970367.0
34,8.3, 印度,"['喜剧', '悬疑', '惊悚', '犯罪']", 印地语 / 英语,2019-04-03,调音师 Andhadhun,689604.0
35,9.0, 美国 / 加拿大,"['剧情', '传记', '犯罪']", 英语 / 法语,2003-04-11,猫鼠游戏 Catch Me If You Can,591339.0
36,9.3, 美国,"['科幻', '动画', '冒险']", 英语,2008-06-27,机器人总动员 WALL·E,988477.0
37,8.6, 中国香港,"['喜剧', '爱情', '古装']", 粤语,1993-07-01,唐伯虎点秋香 唐伯虎點秋香,742723.0
38,8.2, 美国,"['剧情', '喜剧', '悬疑', '犯罪']", 英语 / 西班牙语,2019-11-29,利刃出鞘 Knives Out,540092.0
39,7.1, 日本,"['爱情', '动画', '奇幻']", 日语,2019-11-01,天气之子 天気の子,205210.0
40,9.2, 中国香港,"['剧情', '悬疑', '犯罪']", 粤语,2002-12-12,无间道 無間道,900788.0
41,9.5, 意大利,"['剧情', '喜剧', '爱情', '战争']", 意大利语 / 德语 / 英语,2020-01-03,美丽人生 La vita è bella,985715.0
42,9.0, 美国 / 英国,"['奇幻', '冒险']", 英语,2002-01-26,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,687818.0
43,8.8, 西班牙,"['剧情', '悬疑', '惊悚', '犯罪']", 西班牙语,2017-09-15,看不见的客人 Contratiempo,853223.0
44,6.6, 中国大陆,['喜剧'], 汉语普通话,2018-07-27,西虹市首富,794773.0
45,8.6, 中国大陆 / 中国香港,"['喜剧', '动作', '犯罪', '奇幻']", 粤语 / 汉语普通话 / 手语,2004-12-23,功夫,693383.0
46,8.7, 美国 / 英国,"['动作', '科幻', '冒险']", 英语 / 西班牙语,2010-01-04,阿凡达 Avatar,968179.0
47,7.2,,,,,陈奕迅线上慈善演唱会 Live Is So Much Better With Music Eason Chan Charity Concert,
48,9.1, 日本,"['动画', '奇幻', '冒险']", 日语,2004-09-05,哈尔的移动城堡 ハウルの動く城,715324.0
49,6.7, 中国大陆,"['喜剧', '动作', '悬疑']", 汉语普通话,2018-02-16,唐人街探案2,706605.0
50,6.5, 韩国,"['悬疑', '惊悚']", 韩语,2020-06-04,侵入者 침입자,16087.0
51,8.3, 中国大陆 / 中国香港,"['动作', '战争']", 汉语普通话 / 阿拉伯语 / 英语 / 索马里语 / 粤语,2018-02-16,红海行动,822539.0
52,8.5, 美国,"['剧情', '动作', '科幻', '奇幻', '冒险']", 英语 / 日语 / 科萨语,2019-04-24,复仇者联盟4：终局之战 Avengers: Endgame,856393.0
53,7.7, 中国大陆,"['剧情', '悬疑', '犯罪']", 汉语普通话,2019-12-13,误杀,573080.0
54,8.7, 美国 / 加拿大,"['剧情', '惊悚', '犯罪']", 英语,2019-08-31,小丑 Joker,723747.0
55,7.7, 中国大陆,"['喜剧', '爱情']", 汉语普通话,2015-09-30,夏洛特烦恼,675832.0
56,8.6, 美国 / 法国,"['喜剧', '动画', '冒险']", 英语,2010-06-20,神偷奶爸 Despicable Me,716699.0
57,9.1, 美国 / 中国台湾 / 英国 / 加拿大,"['剧情', '奇幻', '冒险']", 英语 / 泰米尔语 / 法语 / 日语 / 印地语 / 汉语普通话,2012-11-22,少年派的奇幻漂流 Life of Pi,1044292.0
58,8.6, 美国 / 英国 / 德国,"['奇幻', '冒险']", 英语,2003-01-24,哈利·波特与密室 Harry Potter and the Chamber of Secrets,426339.0
59,9.5, 美国,"['剧情', '历史', '战争']", 英语 / 希伯来语 / 德语 / 波兰语,1993-11-30,辛德勒的名单 Schindler's List,801605.0
60,6.9, 中国大陆,['喜剧'], 汉语普通话 / 英语,2019-02-05,飞驰人生,743804.0
61,7.6, 中国大陆,"['喜剧', '动作', '悬疑']", 汉语普通话 / 泰语 / 英语,2015-12-31,唐人街探案,585205.0
62,6.7, 中国大陆,"['剧情', '传记', '灾难']", 汉语普通话 / 藏语 / 英语 / 四川话,2019-09-30,中国机长,589221.0
63,8.1, 中国大陆,"['剧情', '喜剧']", 汉语普通话 / 贵州话,2018-11-16,无名之辈,827666.0
64,8.3, 中国大陆,"['剧情', '喜剧']", 汉语普通话,2016-10-28,驴得水,675024.0
65,8.7, 美国,"['喜剧', '动作', '科幻', '动画', '冒险']", 英语,2015-02-28,超能陆战队 Big Hero 6,720182.0
66,8.7, 中国香港,"['剧情', '喜剧', '爱情']", 粤语,1999-02-13,喜剧之王 喜劇之王,684529.0
67,7.1, 中国大陆,"['动作', '战争']", 汉语普通话 / 英语,2017-07-27,战狼2,737726.0
68,9.2, 美国 / 英国,"['剧情', '动作', '科幻', '惊悚', '犯罪']", 英语 / 汉语普通话,2008-07-14,蝙蝠侠：黑暗骑士 The Dark Knight,751127.0
69,8.8, 美国,"['动作', '奇幻', '冒险']", 英语,2003-11-21,加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,644110.0
70,4.5, 中国大陆,"['爱情', '奇幻', '古装']", 汉语普通话,2019-09-13,诛仙1 诛仙 Ⅰ,551198.0
71,9.3, 韩国,['剧情'], 韩语,2011-09-22,熔炉 도가니,680373.0
72,9.1, 日本,"['动画', '奇幻', '冒险']", 日语,1992-05-01,天空之城 天空の城ラピュタ,620165.0
73,8.7, 美国,"['剧情', '爱情', '奇幻']", 英语,1990-12-06,剪刀手爱德华 Edward Scissorhands,818370.0
74,7.9, 中国大陆 / 美国,"['爱情', '动画', '奇幻']", 汉语普通话,2019-01-11,白蛇：缘起,545414.0
75,8.9, 意大利 / 美国,"['剧情', '情色', '战争']", 意大利语 / 英语 / 拉丁语 / 古希腊语,2000-10-27,西西里的美丽传说 Malèna,710460.0
76,8.4, 泰国,"['剧情', '喜剧', '爱情']", 泰语 / 印度尼西亚语 / 英语,2012-06-05,初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก,773354.0
77,7.1, 中国大陆,"['剧情', '喜剧']", 汉语普通话,2018-08-10,一出好戏,748867.0
78,9.0, 美国,"['动画', '歌舞', '冒险']", 英语 / 斯瓦希里语 / 科萨语 / 祖鲁语,1995-07-15,狮子王 The Lion King,588168.0
79,8.1, 美国,"['动作', '科幻', '奇幻', '冒险']", 英语,2018-05-11,复仇者联盟3：无限战争 Avengers: Infinity War,665984.0
80,9.2, 英国 / 意大利 / 中国大陆 / 法国,"['剧情', '传记', '历史']", 英语 / 汉语普通话 / 日语,1987-10-04,末代皇帝 The Last Emperor,534635.0
81,8.7, 英国 / 美国,"['奇幻', '冒险']", 英语,2004-09-10,哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban,407351.0
82,9.2, 法国,"['剧情', '喜剧']", 法语,2011-11-02,触不可及 Intouchables,727553.0
83,7.5, 美国,"['动作', '科幻', '奇幻', '冒险']", 英语 / 韩语,2015-05-12,复仇者联盟2：奥创纪元 Avengers: Age of Ultron,420980.0
84,6.7, 中国大陆 / 中国香港,"['喜剧', '爱情', '奇幻']", 汉语普通话 / 英语 / 日语,2016-02-08,美人鱼,644687.0
85,7.4, 中国大陆,"['喜剧', '爱情']", 汉语普通话,2019-12-20,半个喜剧,407582.0
86,6.9, 中国大陆,"['喜剧', '奇幻']", 汉语普通话,2017-09-30,羞羞的铁拳,562644.0
87,7.2, 美国 / 中国大陆,"['动作', '科幻', '惊悚']", 英语 / 汉语普通话,2018-11-09,毒液：致命守护者 Venom,669369.0
88,7.6, 中国大陆,"['剧情', '历史', '战争']", 汉语普通话,2017-12-15,芳华,668170.0
89,7.0, 美国,"['动作', '科幻', '冒险']", 英语 / 挪威语 / 法语,2011-09-09,美国队长 Captain America: The First Avenger,298451.0
90,8.2, 美国,"['动作', '科幻', '奇幻', '冒险']", 英语 / 俄语,2012-05-05,复仇者联盟 The Avengers,548940.0
91,6.8, 中国大陆,"['剧情', '动画', '奇幻']", 汉语普通话,2016-07-08,大鱼海棠,410391.0
92,7.6, 美国 / 澳大利亚,"['动作', '奇幻', '冒险']", 英语 / 毛利语 / 意大利语 / 俄语,2018-12-07,海王 Aquaman,738417.0
93,8.8, 美国 / 英国,"['奇幻', '冒险']", 英语,2011-08-04,哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,545532.0
94,9.3, 美国,"['剧情', '犯罪']", 英语 / 意大利语 / 拉丁语,1972-03-15,教父 The Godfather,680887.0
95,8.3, 美国,"['动作', '科幻', '惊悚', '冒险']", 英语 / 波斯语 / 乌尔都语 / 阿拉伯语,2008-04-30,钢铁侠 Iron Man,457532.0
96,8.1, 中国大陆 / 中国香港,"['剧情', '动作', '悬疑', '犯罪']", 汉语普通话 / 粤语 / 英语 / 泰语 / 波兰语,2018-09-30,无双 無雙,745172.0
97,9.2, 德国 / 瑞士 / 南非,"['剧情', '家庭', '冒险']", 德语 / 瑞士德语 / 南非语,2019-05-16,海蒂和爷爷 Heidi,288224.0
98,7.9, 美国,"['动作', '科幻', '冒险']", 科萨语 / 英语 / 德语 / 俄语 / 罗马尼亚语,2016-05-06,美国队长3 Captain America: Civil War,390976.0
99,9.0, 美国,"['剧情', '喜剧', '爱情']", 英语 / 意大利语 / 德语,1953-08-20,罗马假日 Roman Holiday,715793.0
100,8.5, 英国 / 美国,"['奇幻', '冒险']", 英语 / 法语,2005-11-18,哈利·波特与火焰杯 Harry Potter and the Goblet of Fire,362705.0
101,8.5, 中国香港,"['剧情', '喜剧', '古装']", 粤语,1994-03-31,九品芝麻官,397212.0
102,8.4, 中国台湾,"['剧情', '家庭', '犯罪']", 汉语普通话 / 闽南语,2019-11-01,阳光普照 陽光普照,159705.0
103,8.1, 中国台湾,"['剧情', '喜剧', '爱情']", 汉语普通话,2011-08-19,那些年，我们一起追的女孩 那些年，我們一起追的女孩,731060.0
104,8.8, 美国,"['剧情', '悬疑', '惊悚']", 英语 / 德语,2010-02-13,禁闭岛 Shutter Island,682587.0
105,8.7, 法国 / 德国,"['喜剧', '爱情']", 法语 / 俄语,2001-04-25,天使爱美丽 Le fabuleux destin d'Amélie Poulain,780398.0
106,8.2, 英国 / 美国,"['奇幻', '冒险']", 英语,2007-08-10,哈利·波特与凤凰社 Harry Potter and the Order of the Phoenix,334392.0
107,8.8, 美国 / 加拿大,"['剧情', '科幻', '悬疑', '惊悚']", 英语,2004-01-23,蝴蝶效应 The Butterfly Effect,678617.0
108,8.7, 美国,"['喜剧', '动画', '冒险']", 英语,2013-04-20,疯狂原始人 The Croods,629354.0
109,8.7, 中国香港,"['爱情', '奇幻', '武侠', '古装']", 粤语,1987-07-18,倩女幽魂,525961.0
110,7.6, 美国,"['动作', '奇幻', '冒险']", 英语,2016-11-04,奇异博士 Doctor Strange,474051.0
111,7.6, 中国香港 / 中国台湾,"['剧情', '悬疑', '惊悚', '犯罪']", 汉语普通话 / 台语 / 英语,2002-10-25,双瞳,77218.0
112,7.8, 美国 / 中国大陆,"['动作', '科幻']", 英语 / 汉语普通话,2013-05-01,钢铁侠3 Iron Man 3,360863.0
113,8.0, 英国 / 美国,"['奇幻', '冒险']", 英语,2009-07-15,哈利·波特与混血王子 Harry Potter and the Half-Blood Prince,324214.0
114,7.6, 美国,"['动作', '科幻', '冒险']", 英语 / 法语 / 俄语,2010-05-07,钢铁侠2 Iron Man 2,341220.0
115,8.6, 法国 / 英国 / 美国,"['剧情', '爱情']", 英语,2005-09-16,傲慢与偏见 Pride & Prejudice,558048.0
116,8.7, 日本,"['剧情', '家庭', '犯罪']", 日语,2018-08-03,小偷家族 万引き家族,597526.0
117,8.9, 美国,"['剧情', '爱情', '奇幻']", 英语 / 俄语 / 法语,2008-12-25,本杰明·巴顿奇事 The Curious Case of Benjamin Button,720253.0
118,8.7, 美国,"['动画', '奇幻', '冒险']", 英语,2010-05-14,驯龙高手 How to Train Your Dragon,556089.0
119,8.7, 美国,"['剧情', '悬疑', '惊悚', '犯罪']", 英语,2014-09-26,消失的爱人 Gone Girl,652819.0
120,9.2, 韩国,['剧情'], 韩语,2013-10-02,素媛 소원,457058.0
121,8.1, 美国 / 英国,"['动作', '科幻', '冒险']", 英语 / 萨卡语,2014-10-10,银河护卫队 Guardians of the Galaxy,423667.0
122,9.0, 新西兰 / 美国,"['剧情', '动作', '奇幻', '冒险']", 英语 / 辛达林语,2002-04-04,指环王1：魔戒再现 The Lord of the Rings: The Fellowship of the Ring,567173.0
123,8.5, 中国大陆 / 中国香港,"['喜剧', '犯罪']", 汉语普通话 / 重庆话,2006-06-30,疯狂的石头,584642.0
124,8.2, 泰国,"['剧情', '悬疑', '犯罪']", 泰语 / 英语,2017-10-13,天才枪手 ฉลาดเกมส์โกง,575894.0
125,7.1, 美国,"['动作', '奇幻', '冒险']", 英语,2011-05-08,雷神 Thor,273673.0
126,8.0, 中国大陆 / 中国香港,"['剧情', '动作', '犯罪']", 汉语普通话 / 粤语 / 泰语 / 缅甸语 / 英语,2016-09-30,湄公河行动,581167.0
127,8.0, 美国,"['动作', '科幻', '冒险']", 英语,2017-05-05,银河护卫队2 Guardians of the Galaxy Vol. 2,384519.0
128,7.6, 中国大陆,"['剧情', '爱情', '战争']", 汉语普通话,2018-01-12,无问西东,603508.0
129,8.7, 美国 / 澳大利亚,"['剧情', '传记', '历史', '战争']", 英语,2016-12-08,血战钢锯岭 Hacksaw Ridge,586639.0
130,7.4, 美国,"['动作', '科幻', '冒险']", 英语,2017-09-08,蜘蛛侠：英雄归来 Spider-Man: Homecoming,354923.0
131,9.2, 美国 / 新西兰,"['剧情', '动作', '奇幻', '冒险']", 英语 / 昆雅语 / 古英语 / 辛达林语,2004-03-12,指环王3：王者无敌 The Lord of the Rings: The Return of the King,552728.0
132,6.9, 中国大陆 / 日本,"['剧情', '悬疑', '奇幻', '古装']", 汉语普通话 / 日语,2017-12-22,妖猫传,586377.0
133,9.2, 中国大陆 / 中国香港,"['剧情', '家庭', '历史']", 汉语普通话,1994-06-30,活着,584438.0
134,8.3, 英国 / 美国,"['奇幻', '冒险']", 英语,2010-11-19,哈利·波特与死亡圣器(上) Harry Potter and the Deathly Hallows: Part 1,346617.0
135,9.1, 美国,['剧情'], 英语,1992-12-23,闻香识女人 Scent of a Woman,623398.0
136,7.7, 美国,"['动作', '科幻', '冒险']", 英语,2015-10-16,蚁人 Ant-Man,371758.0
137,8.0, 美国,"['动作', '科幻', '冒险']", 英语 / 法语,2014-04-04,美国队长2 Captain America: The Winter Soldier,372420.0
138,8.9, 意大利 / 法国 / 巴西 / 美国 / 荷兰 / 德国,"['剧情', '爱情', '同性']", 英语 / 意大利语 / 法语 / 德语 / 希伯来语,2017-01-22,请以你的名字呼唤我 Call Me by Your Name,465025.0
139,7.7, 中国大陆,"['剧情', '犯罪']", 汉语普通话,2015-12-24,老炮儿,615762.0
140,5.9, 中国大陆,['喜剧'], 汉语普通话 / 俄语 / 英语,2020-01-25,囧妈,515969.0
141,8.8, 美国,"['剧情', '悬疑', '惊悚', '犯罪']", 英语 / 葡萄牙语,1995-09-22,七宗罪 Se7en,713376.0
142,9.0, 美国 / 澳大利亚,"['动作', '科幻']", 英语,1999-03-31,黑客帝国 The Matrix,569777.0
143,7.4, 中国大陆,['喜剧'], 汉语普通话 / 英语 / 泰语,2012-12-12,人再囧途之泰囧,648054.0
144,7.0, 中国大陆,"['剧情', '喜剧', '动作']", 汉语普通话 / 英语 / 日语 / 法语,2018-07-13,邪不压正,562196.0
145,7.7, 美国,"['动作', '科幻', '冒险']", 英语,2019-06-28,蜘蛛侠：英雄远征 Spider-Man: Far from Home,480958.0
146,6.8, 中国大陆,"['剧情', '喜剧']", 汉语普通话,2017-01-28,乘风破浪,476360.0
147,6.5, 美国 / 南非 / 韩国 / 澳大利亚,"['动作', '科幻', '冒险']", 斯瓦希里语 / 英语 / 科萨语 / 韩语,2018-03-09,黑豹 Black Panther,373503.0
148,8.9, 日本,"['剧情', '爱情']", 日语,1999-03,情书 Love Letter,660801.0
149,8.4, 美国,"['剧情', '爱情', '歌舞']", 英语,2017-02-14,爱乐之城 La La Land,608493.0
150,7.4, 美国,"['动作', '奇幻', '冒险']", 英语,2017-11-03,雷神3：诸神黄昏 Thor: Ragnarok,347348.0
151,8.8, 美国,"['剧情', '惊悚', '犯罪']", 英语,1991-02-14,沉默的羔羊 The Silence of the Lambs,614223.0
152,8.4, 美国,"['喜剧', '动画', '歌舞', '奇幻']", 英语 / 冰岛语,2014-02-05,冰雪奇缘 Frozen,537177.0
153,7.8, 西班牙,"['科幻', '惊悚']", 西班牙语,2019-09-06,饥饿站台 El hoyo,207070.0
154,8.9, 英国 / 美国,"['剧情', '悬疑', '惊悚']", 英语,2006-10-17,致命魔术 The Prestige,618313.0
155,8.5, 中国台湾 / 中国大陆 / 美国 / 中国香港,"['剧情', '爱情', '情色']", 汉语普通话 / 上海话 / 英语 / 粤语 / 日语 / 印地语,2007-09-24,色，戒,495141.0
156,8.3, 中国大陆,"['剧情', '动画', '奇幻']", 汉语普通话 / 粤语,2015-07-10,西游记之大圣归来,559241.0
157,8.7, 美国,"['喜剧', '动画', '儿童', '奇幻', '冒险']", 英语,2001-11-02,"怪兽电力公司 Monsters, Inc.",469774.0
158,9.0, 美国,"['剧情', '传记']", 英语,2001-12-13,美丽心灵 A Beautiful Mind,551842.0
159,6.4, 中国大陆,"['喜剧', '科幻']", 汉语普通话 / 英语,2019-02-05,疯狂的外星人,572418.0
160,8.6, 英国 / 美国,"['剧情', '爱情']", 英语,2020-05-20,婚姻故事 Marriage Story,210898.0
161,8.9, 日本,"['剧情', '爱情', '动画', '奇幻']", 日语,2011-09-17,萤火之森 蛍火の杜へ,361823.0
162,8.8, 美国 / 英国,"['剧情', '动作', '科幻', '惊悚', '犯罪']", 英语 / 阿拉伯语,2012-08-27,蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,518786.0
163,9.1, 美国 / 新西兰,"['剧情', '动作', '奇幻', '冒险']", 英语 / 辛达林语 / 古代英语,2003-04-25,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,504021.0
164,6.9, 美国 / 澳大利亚,"['动作', '科幻', '冒险']", 英语,2019-03-08,惊奇队长 Captain Marvel,426780.0
165,7.7, 美国,"['悬疑', '惊悚', '恐怖']", 英语,2017-01-23,逃出绝命镇 Get Out,267067.0
166,8.8, 美国 / 德国 / 英国,"['剧情', '喜剧', '冒险']", 英语 / 法语 / 德语,2014-02-06,布达佩斯大饭店 The Grand Budapest Hotel,643969.0
167,8.7, 中国香港,"['剧情', '爱情']", 粤语 / 汉语普通话 / 英语 / 印地语 / 日语,1994-07-14,重庆森林 重慶森林,580969.0
168,8.4, 印度,"['剧情', '喜剧', '动作']", 印地语 / 乌尔都语,2018-03-02,小萝莉的猴神大叔 Bajrangi Bhaijaan,362716.0
169,7.6, 中国大陆 / 中国香港,"['剧情', '爱情']", 汉语普通话,2016-09-14,七月与安生,503726.0
170,8.6, 美国 / 中国香港,"['剧情', '家庭', '儿童']", 英语,2018-01-19,奇迹男孩 Wonder,422817.0
171,6.7, 中国大陆 / 中国香港,"['喜剧', '奇幻', '古装']", 汉语普通话,2015-07-16,捉妖记,420483.0
172,6.8, 中国大陆,"['剧情', '悬疑', '犯罪']", 汉语普通话,2020-06-30,猎谎者,8289.0
173,8.9, 韩国,"['剧情', '喜剧', '家庭']", 韩语,2013-01-23,7号房的礼物 7번방의 선물,378349.0
174,8.6, 日本,"['动画', '奇幻', '冒险']", 日语,1989-07-29,魔女宅急便 魔女の宅急便,341059.0
175,8.2, 中国大陆,"['剧情', '家庭']", 汉语普通话 / 西安话,2018-12-07,狗十三,399930.0
176,8.7, 美国,"['悬疑', '惊悚', '恐怖']", 英语,2004-01-19,电锯惊魂 Saw,365175.0
177,8.7, 美国,"['喜剧', '动画', '冒险']", 英语,2015-10-06,头脑特工队 Inside Out,425444.0
178,8.9, 日本,"['动画', '奇幻', '冒险']", 日语,1997-07-12,幽灵公主 もののけ姫,399671.0
179,7.4, 美国,"['动作', '奇幻', '冒险']", 英语,2013-11-08,雷神2：黑暗世界 Thor: The Dark World,279845.0
180,9.2, 韩国,['剧情'], 韩语,2013-12-18,辩护人 변호인,447373.0
181,8.5, 英国 / 澳大利亚,"['剧情', '悬疑', '惊悚']", 英语,2009-10-16,恐怖游轮 Triangle,577506.0
182,8.5, 日本,"['动画', '奇幻', '冒险']", 日语,2008-07-19,悬崖上的金鱼姬 崖の上のポニョ,314253.0
183,8.6, 美国,"['喜剧', '动画', '冒险']", 英语 / 克罗地亚语,2002-03-15,冰川时代 Ice Age,464792.0
184,8.8, 美国,"['剧情', '悬疑', '惊悚']", 英语,2003-04-25,致命ID Identity,574834.0
185,8.7, 美国 / 英国,"['剧情', '犯罪']", 英语,2018-03-02,"三块广告牌 Three Billboards Outside Ebbing, Missouri",614525.0
186,8.2, 中国大陆,"['动作', '动画', '奇幻']", 汉语普通话,2019-09-07,罗小黑战记,390770.0
187,9.1, 丹麦 / 瑞典,['剧情'], 丹麦语 / 英语 / 波兰语,2012-05-20,狩猎 Jagten,259824.0
188,8.8, 美国,"['剧情', '喜剧', '犯罪']", 英语 / 西班牙语 / 法语,1994-05-12,低俗小说 Pulp Fiction,608617.0
189,7.3, 美国,"['动作', '科幻', '冒险']", 英语,2018-08-24,蚁人2：黄蜂女现身 Ant-Man and the Wasp,387363.0
190,8.8, 美国 / 加拿大,"['剧情', '爱情', '同性', '家庭']", 英语,2005-09-02,断背山 Brokeback Mountain,543665.0
191,8.9, 日本,"['剧情', '歌舞']", 日语,2006-05-27,被嫌弃的松子的一生 嫌われ松子の一生,546374.0
192,8.6, 韩国,['剧情'], 韩语,2019-11-07,82年生的金智英 82년생 김지영,264601.0
193,9.3, 中国大陆,"['动画', '奇幻']", 汉语普通话,1961,大闹天宫,283004.0
194,7.0, 美国,"['动作', '科幻', '惊悚']", 英语 / 葡萄牙语 / 西班牙语,2008-08-20,无敌浩克 The Incredible Hulk,177662.0
195,8.8, 韩国,"['剧情', '动作', '悬疑', '惊悚', '犯罪']", 韩语 / 英语,2003-05-02,杀人回忆 살인의 추억,477689.0
196,8.9, 美国,['剧情'], 英语,1997-12-05,心灵捕手 Good Will Hunting,510171.0
197,8.7, 中国香港,"['喜剧', '奇幻', '武侠', '古装']", 粤语,1993-02-05,射雕英雄传之东成西就 射鵰英雄傳之東成西就,476494.0
198,6.8, 中国大陆,"['喜剧', '爱情', '奇幻']", 汉语普通话,2018-05-18,超时空同居,432091.0
199,8.7, 英国,"['喜剧', '爱情', '奇幻']", 英语,2013-09-04,时空恋旅人 About Time,402015.0
200,8.1, 日本,"['剧情', '爱情', '动画']", 日语 / 法语 / 德语,2013-07-20,起风了 風立ちぬ,177628.0
201,8.8, 美国,"['喜剧', '动画', '奇幻', '冒险']", 英语 / 西班牙语,2010-06-16,玩具总动员3 Toy Story 3,364148.0
202,8.2, 中国大陆,"['剧情', '音乐']", 汉语普通话,2016-05-06,百鸟朝凤,216421.0
203,9.2, 法国 / 德国 / 英国 / 波兰,"['剧情', '音乐', '传记', '历史', '战争']", 英语 / 德语 / 俄语,2002-05-24,钢琴家 The Pianist,380257.0
204,8.1, 美国 / 法国,"['剧情', '爱情']", 英语 / 法语,2007-02-27,穿普拉达的女王 The Devil Wears Prada,548505.0
