R,F,M
870,1,1549
757,1,99
864,1,5999
899,1,359
719,1,128
769,1,179
768,1,308
748,1,308
609,1,376
745,2,157
888,1,428
759,1,39.9
892,1,446
767,1,9729
741,1,7666
723,1,75.6
649,1,3088
689,1,1194
795,1,99
741,2,192
634,1,498
759,1,11
764,1,110
632,1,39.9
739,1,39
760,3,453
609,1,199
624,1,99
689,1,498
647,1,49.9
679,1,1194
617,1,69
763,1,118
661,1,299
714,1,3588
879,1,134.4
795,1,1799
663,1,49.9
691,2,199
748,1,148
659,1,19
877,1,4398
823,1,74
817,1,39
737,2,378
736,1,29
927,1,839
791,1,48.5
749,1,95
756,1,59
787,2,83.9
619,2,150.9
962,1,4599
694,1,99
876,1,89
660,1,3579
930,3,1114
766,1,95
884,1,99
653,1,399
647,1,3966
818,2,26998
718,1,55
737,1,3699
724,1,275
811,1,2299
613,1,143.2
853,1,158
957,1,3488
939,1,4378
922,1,11
881,1,16.9
783,1,6999
858,1,99
853,1,1
666,1,49
804,1,369
628,1,69
712,1,3967
674,1,258
818,1,5078
894,1,158
705,1,59.7
695,1,99
624,1,1238
858,1,147.9
852,1,179
850,1,48
848,1,49
846,1,4488
845,1,340
843,1,249
841,1,23
840,1,237
838,1,3198
836,1,47
834,1,19
832,1,99
831,1,5
829,1,1345
827,1,718
825,1,99
714,1,49.7
731,1,79
703,3,116.9
760,1,29.7
797,1,365
712,1,2388
705,1,119.8
721,1,79
812,1,601.9
780,1,59
896,1,99
885,1,457
684,1,18
714,1,699
646,1,99
808,2,44
881,1,1
900,10,7976.6
727,1,3166
886,1,4699
737,1,1868
622,3,177
624,1,5388
744,1,19
784,2,167
677,1,119
713,1,39
725,1,59
738,1,29
713,1,5288
764,2,192
626,1,89
651,1,1196
693,18,11853.3
732,1,95
770,1,9
755,1,3199
746,1,99
772,2,1380
889,1,119
650,2,78
678,1,50
873,1,72
724,1,118
751,1,88
818,1,27175
666,1,5288
866,1,99
728,1,10799
720,1,39.9
645,2,1998
705,1,19
749,1,8997
743,1,19.9
905,1,168
905,1,39.9
904,1,22584
904,1,299
903,1,96
903,1,3169
902,1,99
901,1,1
901,1,999
900,1,96
648,1,61
796,1,95
705,1,3299
749,1,96
623,2,2087
699,1,9.9
720,1,3449
957,1,594
940,1,1410
922,1,4500
750,1,39.9
929,1,80
730,1,615.9
764,1,65
887,1,96
936,1,3609
827,1,95
808,1,45.9
706,1,10
665,1,66
634,1,16
881,1,49
914,1,1
612,1,3688
685,1,32
708,1,96
680,6,668.9
886,1,379
970,1,4199
953,1,99
936,1,88
918,1,2999
716,1,19
896,1,69.9
655,1,39.9
801,1,99
822,1,96
756,2,87.9
868,1,77
707,1,9
656,1,202.6
796,1,179
814,1,1999
802,1,109.8
900,11,13364.6
924,3,11186
783,1,188
685,1,299.9
808,2,5448
920,4,1762.9
886,1,4399
650,1,33.8
776,1,380
853,1,69
793,2,253
662,1,95
714,1,9
796,1,99
762,1,119
779,2,78.1
652,1,249
792,1,719
737,1,39.9
649,1,279
806,1,49
899,1,9.9
661,1,79
709,1,109
701,1,39.9
683,1,98
806,1,269
715,1,79
623,1,99
685,1,11
891,1,3099
747,1,51.9
806,1,96
768,1,299
761,1,198
684,1,39
740,1,818
644,1,99.4
629,1,239
808,1,189
715,1,39
656,1,199
882,1,29
794,1,88
778,1,19.5
809,1,20.1
790,1,179
871,1,5
803,1,100.3
748,1,429
899,1,39
867,1,29.9
661,1,4395
882,1,104
693,1,99
773,1,29.9
751,1,39.8
823,1,158
815,1,76.8
858,1,96
678,1,308
774,1,279
775,1,22
853,1,118
630,1,69
718,1,69
654,1,79
757,2,178
956,1,1349
938,1,206.6
921,1,119
808,1,29.5
625,1,7388
784,1,399.5
752,1,99
865,1,3
927,3,5256
753,2,12187
785,1,839
654,1,5246
625,1,99
697,1,3999
795,1,206.5
768,1,99
721,3,247.5
739,1,99
757,1,199
868,1,95
898,1,1
752,1,139
628,1,3999
645,1,59
698,1,3799
763,1,19
786,1,299
823,1,49
742,1,12776
743,1,99
887,1,1007
784,1,10.1
872,1,9
730,1,799
713,1,96
694,1,114
655,1,45
809,1,99
765,1,9.9
919,4,3091.8
926,3,233.5
748,2,5078
663,1,9.9
825,16,46661.8
716,1,139
699,1,98
660,1,95
733,1,59
751,2,617.7
783,1,95
777,1,39
657,1,117
682,4,343.7
887,1,59
630,1,799.5
864,1,559
621,1,199
882,1,399
858,1,3999
612,1,199
917,4,2971.9
680,3,1230
794,1,69
652,1,39
822,1,598
878,1,156
720,1,56
871,1,119
819,1,39
791,1,97
872,1,29
782,1,3588
610,1,28
890,1,799.5
927,3,277.9
754,1,39
929,3,5900
759,1,399
817,1,89
865,1,22
881,1,95
794,1,398
690,1,99
704,1,2003
692,1,299
703,1,96
609,1,1
885,1,4099
650,1,999
739,1,638
914,4,4703.1
753,1,96
622,4,686.9
738,1,849
733,1,18
609,1,477
738,1,7899
799,1,129
755,1,59
649,1,119
750,1,59
636,52,40995.6
973,1,828
919,4,4118.8
913,4,3871
922,3,928.1
763,1,378
684,1,8288
714,1,79
924,3,1634
798,1,666
677,1,4288
684,1,49.3
790,1,1111
659,3,4334
920,1,49
660,2,78
614,2,3104
664,1,49
825,16,15357.5
879,1,29.9
659,1,3098
684,3,30.8
618,1,138
822,1,95.9
899,1,99
739,1,1949
657,1,49
788,1,78
699,1,3159
614,1,29.9
916,4,2049.9
707,1,96
753,1,156.8
735,2,210.8
661,1,219
816,1,259
751,1,145
609,1,299
895,1,799
682,1,3588
793,1,3599
739,1,99
870,1,69
926,3,5677.7
709,1,39
611,1,52.4
818,1,99
888,1,119
787,1,308
826,16,10727.4
770,1,69
732,1,39.9
656,1,99
744,1,409
874,1,89
787,1,799.5
679,1,49.9
784,1,69
727,1,1499
891,1,96
890,1,96
625,1,118
929,1,69
665,1,99
920,4,7917
899,1,1
747,1,899
926,3,3682
663,6,2604.9
690,1,49
860,1,356
716,1,79
609,1,1
885,1,128
759,1,88
886,1,1008
678,2,108.9
721,1,99
821,1,9.9
613,1,29
653,10,1203.4
765,1,1699
860,1,4
845,1,139
878,1,149
711,2,168
781,1,59
785,1,99
883,1,96
926,3,2814
684,2,7176
610,1,109
899,1,339
648,1,20.1
793,1,1799
634,1,698
705,1,98
924,1,2688
793,1,250.7
896,1,594
724,1,39
732,1,213.7
739,3,487.9
729,1,69
775,1,1099
824,1,98
961,1,168
943,1,394
926,1,3999
723,1,6999
759,2,4776
716,1,328
704,1,999
771,1,439
754,1,839
751,1,2699
744,1,2038
729,1,126
797,1,5288
659,1,49.5
729,1,199
913,4,1905.6
719,1,108
876,1,69
827,1,9
882,1,3069
972,1,1599
955,1,76
937,1,96
920,1,10.1
853,1,1699
625,1,69
878,1,4078
672,1,99
869,1,39
658,1,11
681,1,78
785,1,1580
691,2,19.8
880,1,39.9
779,1,49
788,1,598
803,1,96
775,1,2279
803,1,1873.9
782,1,104.6
809,1,79
736,1,359
655,1,7280
873,1,79
708,1,2599
878,1,568
928,3,8304.1
682,1,1
667,9,18871.5
736,1,4299
766,1,300.9
723,1,2749
631,1,487
880,1,199
666,2,6196
708,1,49
820,1,213.5
645,1,49
652,1,39
657,1,538
784,1,180
714,1,39
721,1,6890
800,1,178
698,2,137.6
711,1,61.9
631,2,140
659,1,5789
736,2,88
761,1,799
858,1,19.9
629,1,98
649,1,29.9
821,1,19.9
826,16,11572.9
770,1,18
667,1,807
721,1,99
825,16,2949.9
687,1,6189
877,1,88
918,7,720.9
628,1,95
853,1,22
748,1,9.9
754,2,617
858,1,99
970,1,59
953,1,3499
936,1,39.9
918,1,368
969,1,3599
952,1,1
935,1,129
917,1,269
716,1,1
882,1,69
609,2,117
950,1,95
933,1,175
915,1,79
806,1,96
753,3,565
685,1,109
848,1,3799
771,1,119
918,4,3306.6
663,2,3390
870,1,39.9
609,1,9
760,1,19.7
622,2,158
679,1,3
684,1,69
814,2,127
769,1,49
728,1,87
701,1,16.9
891,1,20.1
785,1,96
646,1,88
796,1,11
722,1,96
629,1,109
876,1,515
718,1,99
773,5,4305.5
658,2,568.7
676,1,58
675,1,130
674,1,24.8
672,1,3048
671,1,22
670,1,3936
669,1,29.7
668,1,106
667,1,149
696,1,299
772,1,84.5
721,1,448
823,1,199.4
812,1,39.9
756,1,399
820,1,198
657,2,1096
887,1,498
617,1,1288
677,1,49
880,1,139
789,1,9
656,1,419
740,1,1548
729,1,3899
882,1,2166.8
647,2,8198
967,1,156.1
950,1,69
933,1,238
915,1,31.9
808,1,479.7
774,2,917
823,1,89
867,1,9.9
814,1,94
616,4,316.9
913,4,6215
664,2,442
822,1,107.6
756,1,95
915,4,3989
917,4,3002
920,4,4844
756,1,79
817,1,19
764,1,49
791,1,39
713,1,59
716,1,35.9
696,1,136
649,2,88
894,1,38
667,1,1699
897,1,299
655,1,88
927,3,1101
659,1,386.9
880,1,89
686,1,79
802,1,59
682,1,898
873,1,68
768,1,46
615,2,151
751,1,9
630,1,179
645,1,39
687,1,3598
789,2,288
634,1,299
731,1,69
694,1,149
754,1,9
776,1,119
703,1,69
739,1,5999
747,1,3688
682,1,599
682,3,348.4
709,1,839
663,1,169.8
916,4,998.8
871,1,119
924,1,58
853,1,1999
646,2,72
703,1,148
646,3,8397
810,1,89
876,1,954
769,1,1799
788,1,182
730,1,1
768,1,88
921,4,975.9
738,1,93
772,1,19.9
626,1,17.9
791,1,3299
648,1,99
628,2,1195
781,1,109
878,1,147
924,3,4487.9
742,1,2988
750,2,1347
971,1,258
953,1,10.1
936,1,98
918,1,479
826,1,698
620,2,118
652,1,49
790,1,99.5
745,1,99
645,1,179
877,1,99
927,3,292
693,2,8746
880,1,49
747,1,99
768,1,199
857,1,278
664,1,39.9
762,1,158
858,1,95
722,1,49.9
610,1,4599
853,1,2168
663,1,9.9
616,1,3
765,1,999
934,1,10.1
720,1,39.9
823,1,799
772,1,699
736,1,39
925,3,133.9
722,1,2026
794,1,99
741,1,48
726,1,89
767,1,98
662,1,575
784,1,117.9
874,1,55
893,1,129
817,1,239
810,1,2988
756,1,19
956,1,118.9
746,1,3966
683,1,438
962,1,35.9
945,1,99
927,1,348
613,1,36
662,2,2372
795,1,268
663,1,818
764,2,488
881,1,9.9
626,2,668
923,3,3705
810,1,39
765,1,84.5
730,3,2181.7
732,1,2499
699,17,18195.5
865,1,2888
661,1,319
872,1,99
622,2,192
868,1,1339.6
709,1,79
795,1,95
968,1,59
951,1,49
933,1,338
916,1,1
724,1,79
709,1,94
667,1,39
634,1,107.9
789,1,4466
753,1,298
868,2,1357
716,1,33
618,1,11
973,1,39.9
956,1,1149
939,1,59
921,1,69
753,1,109
781,1,338
887,1,327
618,1,99
652,1,69
622,2,1139
611,2,328
853,1,38
643,1,579
693,1,119
868,2,1998
660,1,499
691,1,3238
812,1,112
713,1,117.9
749,1,299
770,2,278
863,1,99
763,1,119.6
663,3,1595.7
770,1,69
746,2,94
779,1,99
710,1,2099
696,1,29
751,1,49
889,1,22137
892,1,759
798,1,9
705,1,39
935,1,29
770,1,5
776,1,4850
873,1,222
668,9,16405
736,1,75
711,3,6206.8
814,1,158.7
715,1,214
616,1,2199
760,2,97.5
763,1,3599
649,2,129
776,1,39.9
857,1,229
880,1,198
703,1,1421
817,1,96
625,2,550
653,1,49
916,1,6999
730,1,449
644,1,39.9
623,6,621.9
850,1,10.1
848,1,315
846,1,1560
844,1,399
843,1,89
841,1,469
840,1,4299
838,1,1699
836,1,77
834,1,6699
832,1,8.9
831,1,4299
829,1,110
827,1,399
825,1,101
727,1,3099
860,1,1780
735,1,49
667,1,79
858,1,47.9
770,1,307
876,1,2299
704,1,3579
710,1,204
820,1,319
623,1,145
630,1,11
811,1,144.5
744,1,87
864,1,59
704,1,59
853,1,12799
684,1,15
673,1,3999
738,1,1248
725,1,1
928,3,12186
875,1,95
700,1,98
680,1,3598
616,1,5
820,1,1799
744,1,227
777,1,3499
648,1,29.9
880,1,59
826,1,1999
695,1,4499
796,1,35.8
963,1,39
663,1,39
734,1,99
667,1,1299
960,1,6589
664,1,276
872,1,88
801,1,96
684,1,159.9
792,1,5188
656,1,1488
680,1,698
703,1,100.9
706,1,49
611,1,469
754,1,198
680,2,628
754,1,316
929,1,96
654,1,899
741,1,606
926,3,914.8
718,1,4698
886,1,1358
609,1,11
731,1,96
759,1,99
687,1,1888
814,1,4398
927,3,3732
613,1,199
917,1,199.4
743,1,9.9
772,1,618
680,1,3888
884,1,2478
626,1,969
763,2,4698
723,1,119
623,1,11
795,1,2899
612,1,1699
896,1,99
772,1,9
782,2,468
711,1,10764
914,4,1655.2
703,1,19.5
895,1,99
806,1,302
715,1,39.9
681,1,1548
650,1,199
705,1,98
613,1,218.8
876,4,1040
809,1,4499
885,1,49
675,1,79
674,1,20.1
673,1,1189
672,1,418
671,1,199
670,1,9.9
669,1,68
668,1,299
930,1,11.6
823,1,9.9
861,1,19.8
724,1,3966
634,1,3999
789,1,49
615,2,8197
926,3,583.7
712,1,298
774,1,679
873,1,100.5
661,1,99
888,1,128
680,1,136
628,1,749
651,1,469
785,1,3999
951,1,109
611,1,199
706,1,99
888,1,35
853,1,99
706,1,49
752,1,99
925,3,1725
648,1,99
756,1,139
919,4,5025
813,1,71
729,1,1
808,1,4399
893,1,650
695,1,399
867,1,2398
824,1,199
786,1,55
921,1,238
774,1,598
699,2,77.9
860,1,839
817,1,99
878,1,11.9
661,1,109
922,3,8522
752,9,3674.1
898,1,96
861,1,699
897,1,99
898,1,19.8
727,1,1198
775,1,89
773,1,99
857,1,49
773,2,38
684,1,379
881,1,96
804,1,118
885,1,29.9
649,1,29
758,1,39.9
620,2,8978
703,1,546
724,1,2999
900,10,13695.1
867,1,85
701,2,193
689,1,111.7
741,1,25
614,1,99
824,1,79
761,1,197
732,1,639
753,1,99
932,1,336
809,1,1988
858,1,299
853,1,89
624,1,59
784,1,377
958,1,108
665,2,101
900,10,7394
761,1,117.8
617,1,217
899,1,56
847,1,399
662,1,88
609,2,636
840,1,3499
811,1,299
787,1,169
663,2,548
722,1,398
696,1,99.3
951,1,95
874,1,198
845,1,238
884,1,4238
739,1,59
731,1,338
788,2,148
645,1,29.6
764,1,29.9
776,1,99
624,1,105
862,1,159
758,1,2799
686,1,88
823,1,2949
708,1,969
801,1,339
816,1,119
648,1,1498
714,1,99
721,1,1
806,1,2799
824,2,6798
736,1,699
634,1,298
732,1,59
786,1,275
700,1,39.9
613,1,1360
688,1,399
750,1,559
914,1,999
853,1,295
621,1,2288
724,1,49.7
824,1,149
801,1,189
813,1,459
861,1,1099
757,1,88
654,1,289
785,1,29
736,1,169
868,1,350
864,1,1
750,1,1580
647,1,95
875,1,3499
873,1,4088
694,1,99
664,1,89
880,1,5999
777,1,69
681,1,5888
648,1,270
726,1,49.3
730,1,168
883,1,123
796,1,599
930,1,10.1
627,5,13974
785,1,29.9
739,1,11.1
730,1,45
738,1,59
680,1,178
857,1,19.9
667,9,5501
723,1,98
809,2,58
712,1,598
919,4,606
694,1,138
749,1,338
612,1,99
815,1,99
791,1,1801.9
926,3,1363.1
715,1,359
886,1,136.9
722,2,198
708,1,4448
761,2,147
751,5,255
659,1,89
801,1,158
719,1,4079
820,2,238
776,1,119
615,1,29
698,1,940
755,1,55
715,1,349
801,2,118
883,1,29
656,1,178
893,1,19
788,1,89
680,2,212
771,1,2699
680,1,209
653,1,788
871,1,3598
769,1,269
632,1,59
914,4,1663.2
743,2,240.8
613,1,19
900,1,95
708,1,1099
667,2,198.7
824,1,396
721,1,99
876,1,78
627,1,1547
657,1,324
920,4,775
683,1,45
784,1,54
808,1,179
803,1,3588
779,2,43.9
808,1,39.9
871,1,76
609,130,46870.7
916,4,1770
812,4,755
914,4,5614
683,1,100.8
751,1,139
877,1,59
657,1,5388
717,1,49.9
871,1,839
785,1,99
752,1,27.9
884,1,2999
611,1,29.9
819,1,3799
772,1,1299
628,1,399
657,1,49.9
776,1,19.8
870,1,159
874,1,268
929,3,374
896,1,226.6
865,1,2948
857,1,39.9
890,1,1198
820,1,96
649,1,99
705,1,328
824,1,19.8
718,1,298
621,1,2399
877,1,119
778,1,49
684,1,1198
793,1,1899
755,1,96
682,1,69.9
609,1,79
615,1,69
697,1,299
666,1,1360
926,3,1551.5
645,1,32
854,1,5969
613,1,79
652,1,3179
972,1,59
954,1,366
937,1,42
920,1,2198
751,1,49
692,1,2999
810,1,238
860,1,199
755,1,6088
691,1,872
715,1,1349
807,1,2398
866,1,1058
619,1,59
734,1,649
686,1,84.9
624,1,99
653,2,178
612,1,6999
735,1,2499
771,1,99
713,1,79
710,1,560
723,1,1999
647,1,29.9
700,1,298
729,1,3699
708,1,59
652,1,3148
870,1,189
620,2,6898
922,3,1134.8
709,1,350
778,4,4745.9
928,3,903
761,2,7576
879,1,1038
699,2,100
659,1,2498
618,1,2999
876,1,9.9
779,1,99
776,1,319.8
625,2,287
628,4,395.1
755,1,799
695,1,19
612,1,49.9
731,1,1111
750,1,55
735,1,96
694,1,1690
863,1,79
610,1,219
688,1,98
617,1,5
804,1,95
727,1,59
699,1,1999
768,1,19
806,1,3098
773,1,1445
762,1,38
609,1,78.9
717,1,99
873,1,29.5
772,1,3599
868,1,2198
623,1,99
709,1,2488
772,1,59
740,1,459
788,1,999
690,1,2888
621,1,99
792,1,19
738,1,139
792,1,399
739,2,497
794,1,99
760,1,1598
812,1,3999
714,1,179
688,1,99
767,1,638
823,1,89
615,2,22
713,1,8876
644,1,3588
763,1,95
668,9,3115.1
718,1,59
698,4,1789
623,1,998
616,1,99.8
629,2,218
743,1,15
764,2,2047
896,1,1788
665,2,609.8
788,1,110
750,1,475
647,1,99
707,1,358
806,2,548
930,1,16.9
631,1,828
609,1,9.9
657,1,78
813,1,69
651,1,1
683,1,99
739,1,119
646,1,39.9
721,1,368
723,1,48
738,2,353.9
921,4,3797.9
715,1,96
763,1,49.9
924,3,5486.5
889,1,99
653,1,29
921,4,11165.9
645,3,204.8
652,5,16237.3
737,1,39.9
722,1,399
650,1,179
629,1,329
621,2,10.9
789,1,9
923,3,12446.1
738,1,3999
790,1,104
766,1,1949
712,1,4599
861,1,95
927,3,337
702,1,119
761,1,1028
679,2,167
887,1,88
770,1,98
820,1,98
620,1,85
732,1,197
609,4,416
802,2,482.9
710,1,45
616,2,3035
712,1,4898
616,1,49
719,1,138
625,1,11
615,2,104
650,1,109
878,1,96
785,1,39
755,1,59
785,1,1358
628,1,99
666,1,25
620,1,2
646,2,58.9
733,1,867
617,1,219
807,1,3699
709,1,199
817,1,3
735,1,484
812,1,375
618,1,3199
919,4,3712.6
892,1,308
708,1,178
688,1,59
869,1,199
763,1,56
713,4,1017
786,1,55
743,1,2999
689,1,95
737,1,299
683,2,246
626,2,3087
861,1,29.9
714,1,89
650,2,138.9
800,1,49
927,3,649.9
725,1,98
715,4,314.8
876,1,545
801,1,59
809,1,39.9
616,1,199
730,1,128
703,1,3298
652,1,19.8
787,1,73
627,1,98
801,1,2699
631,1,189
789,2,127
735,1,329
753,1,2999
888,1,20.1
861,1,45
796,1,8199
814,1,1599
664,1,69
654,1,10
679,1,58
613,4,18481
685,1,309
711,1,3
758,1,96
695,2,79.7
617,1,139
873,1,29
928,1,95
894,1,499
730,1,96
712,1,88
865,1,87.9
824,1,39
874,1,788
622,1,88
889,1,39
739,5,382.8
632,48,28969.3
920,4,1705
738,1,2199
913,4,9081
878,1,95
795,1,89.9
815,1,669
708,1,104.4
615,1,49.6
826,16,16616.4
657,1,75
712,1,3498
743,1,29
698,1,19.9
658,1,99
778,1,1549
700,1,2498
648,1,3599
801,1,1120
810,1,59.9
685,3,199
683,2,59.3
722,1,259
756,1,9
897,1,20.1
700,1,101
660,1,3299
919,4,814.1
784,1,499
791,1,648
739,1,74
782,1,167.8
668,9,11103.8
743,1,158
645,2,2065
698,1,105
826,16,8356.8
889,4,376.8
748,1,307
751,1,399
862,1,45
789,1,29.9
753,1,2399
651,1,95
889,1,12.9
867,1,199
790,1,96
624,1,1099
822,1,88
720,1,26
621,2,798
814,1,338
867,1,55
625,1,39
712,1,864
804,1,118
816,1,2388
764,1,499
648,1,7376
643,1,69
692,1,9.9
795,1,88
626,2,228.5
920,4,1793
680,1,248
709,1,1199
659,2,33.8
879,1,516
786,1,599
872,1,247.9
751,1,39
697,1,1199
698,1,299
785,1,29.9
823,1,139
626,1,899
823,1,208
767,1,45
610,1,899
771,1,15
659,1,954
723,1,39
686,1,899
725,1,59
891,1,29
765,1,348
634,1,5999
720,1,349
824,1,799
900,10,3140.9
716,1,198
785,1,555
896,1,299
813,1,238
880,1,99
663,1,368
653,1,99
665,1,299
706,1,57
667,9,4603.7
621,1,29
791,1,799
719,1,4599
707,1,25
681,1,10.1
618,2,304.9
612,1,69
785,1,9.9
779,1,299
653,1,28
868,1,29
795,1,129
753,1,39.9
798,1,39
820,1,39.9
693,1,39
684,1,49
698,1,169
719,2,739
746,1,99
768,1,3588
853,1,9.9
689,1,698
618,1,55
802,4,346
714,2,2489
875,1,9.9
689,1,139
787,1,1498
937,1,109
886,1,174
768,1,799.5
879,2,168
609,2,1086.4
611,1,4032
792,1,59
788,1,39
783,1,9
615,1,19
779,1,10.1
678,1,89
726,1,99
737,1,50
806,1,99
686,1,39.9
707,1,95
755,1,9.9
844,1,839
626,2,278.9
644,1,248
759,1,96
783,1,39.9
678,3,2223
655,1,119
951,1,898
934,1,249
916,1,99
677,1,99
779,1,99
914,4,856
701,1,99
700,3,20522
807,1,35.9
739,1,95
747,1,999
681,1,69
809,1,358
618,1,10.1
895,1,1299
894,1,580
711,19,13741.2
706,2,165
797,1,2999
628,1,17.8
683,1,989
664,1,139
749,1,39.9
699,1,11
893,1,375
716,1,49
794,1,69
875,1,278
653,2,188
725,1,3599
810,1,1
708,1,159
780,1,69
794,2,798
623,1,39
868,1,9.8
658,1,139
800,1,49.9
869,1,96
805,1,96
888,1,375
749,1,1196
857,1,9.9
658,1,2899
878,1,888
864,1,59
825,16,12741.2
897,1,3588
770,1,39.9
897,1,8387
869,1,139
625,1,69
729,1,414
912,1,19
912,1,839.9
911,1,399
911,1,53
872,1,498
910,1,79
910,1,49
663,1,175.7
750,1,139
909,1,3059
909,1,4298
908,1,95
883,1,47
609,1,239
696,1,99
908,1,3769
907,1,96
907,1,88
906,1,1
882,1,1429
933,1,4899
780,2,68.9
615,1,88
720,2,7424
719,4,2282.9
738,1,278
656,2,318
679,1,2999
890,1,18.9
893,1,96
865,1,299
760,1,35.8
787,1,9.9
696,1,43.9
657,1,179
718,1,39
687,4,5255
888,1,305
791,1,1730
825,16,8949.3
865,1,19
776,1,249
916,4,421
696,1,618
716,1,39.9
662,2,708
888,1,99
886,1,169
677,1,99
776,1,10388
763,5,13932
756,1,599
616,1,3588
652,1,39
664,2,1331
760,1,109
875,1,3238
808,1,49.6
619,1,25
623,1,1999
795,1,1399
645,1,29
681,1,3588
865,1,16.9
779,1,6594
777,1,25
703,1,326
630,1,3199
877,1,148
811,1,239
624,1,139
696,1,59
699,1,9.9
695,1,147
625,1,6697
758,1,29.9
695,3,20201
894,1,99
658,1,20.9
790,1,1
655,2,44
756,1,198
609,1,96
811,1,99
724,1,39.9
701,1,298
724,1,4888
701,1,96
668,8,3615
613,1,5858
629,1,88
875,1,197
877,1,6999
762,1,28
796,1,1498
786,1,3599
744,1,3158
714,1,3788
688,1,3199
895,1,1227
763,1,448
857,1,19.5
754,1,238
753,1,44
878,1,338
889,1,1238
921,4,1788.2
649,1,2299
854,1,77.7
632,1,39
809,1,96
817,1,576
816,1,137.9
778,1,26
609,1,3588
807,2,279
626,1,4188
753,1,59
697,1,59
867,1,299
919,4,3761.9
733,1,2299
876,1,3399
722,1,498
795,1,49.9
809,1,69
876,1,29.9
764,1,69
613,1,39
898,1,228
700,1,99
678,1,95
767,1,146
815,1,799
698,1,2699
877,1,89
705,1,39.9
658,1,279
716,1,76
786,2,1398
683,2,18
708,1,9
626,1,87
721,1,1
818,1,29
721,1,3999
923,3,1142
737,1,297.9
916,4,1685
934,1,399
747,4,3094
744,1,115
870,1,39
913,4,5199
790,1,199
609,3,215.2
915,4,8126.9
783,1,11
684,1,588
659,1,49.9
691,1,99.5
890,1,59
769,1,19.9
761,1,3699
679,1,3788
753,1,2999
786,1,139
711,1,69
736,1,316.9
928,3,296
677,1,11
884,1,22
699,1,2450
655,3,484
879,1,89
626,1,499
698,2,5998
760,1,899
825,16,12998.49
899,1,2
656,2,800
612,1,3698
873,1,3699
