电影名称,评论人,评论时间,评论内容,location,有用
功夫熊猫2 短评,暮玦明,2010/5/4,做作业重看功夫熊猫1，真精彩啊,江苏南京,0
窃听风云2 短评,米粒,2011/8/18,真的好想看，我好喜欢窃听1,"New York City, United States",0
功夫熊猫2 短评,jason1st,2010/5/4,某些人说中国的熊猫中国的功夫却是美国的电影，我真想说你丫尼玛闲的丹疼啊，美国科技发达拍的好，中国有东西，何乐不合作？扯什么国家,,0
窃听风云2 短评,[已注销],2011/8/18,http://www.tudou.com/programs/view/kpF-RsRrud4,,0
窃听风云2 短评,[已注销],2011/8/18,下周末看这个！吴彦祖！！！！！！！,,0
美国队长2 短评,MR.馬可·白,2015/2/20,冬季练哥……瞎了好麽,"San Francisco Bay Area, United States",0
美国队长2 短评,Eronele,2015/2/20,啥时候讲黑寡妇和鹰眼的故事嘛 好烦躁,北京,0
美国队长2 短评,Kevin.滨,2015/2/20,巴基回复记忆,广东汕头,0
美国队长2 短评,飞翔的狐狸,2015/2/20,莫名戳中笑点,"Los Angeles, United States",0
功夫熊猫2 短评,鹿鸣之什,2010/5/4,大神Charlie Kaufman编剧？梦工厂要改变情节薄弱的缺点来和皮克斯对抗了？但会不会太复杂？,陕西西安,0
窃听风云2 短评,随易,2011/8/18,吴彦祖和古天乐要搞基吗？成双成对得出现。。。,北京,0
功夫熊猫2 短评,#稀飯,2010/5/4,测试！ 原来多了一个默认是不勾选的选项“收藏后写一条我说”。,浙江杭州,0
美国队长2 短评,ReverSea,2015/2/20,结果助手墨镜一摘，是John Carter,上海,0
窃听风云2 短评,Eliza,2011/8/18,两人也太高产了吧！！,上海,0
功夫熊猫2 短评,youcat,2010/5/4,......果然身世有谜团吗orz,上海,0
窃听风云2 短评,小萧,2011/8/18,好像不错,,0
美国队长2 短评,明前春茶价目婊,2015/2/20,我要看我要看我要看我要看我要看我要看我要看,广东广州,0
美国队长2 短评,爱冒险更爱耍贱,2015/2/20,看的3d……有一瞬间只有字幕，我摘下眼镜才发现是局长坐在黑影中……(论国产3d的亮度),,0
功夫熊猫2 短评,铛铛骑驴,2010/5/4,我的Money贡献给了德普叔，所以这部我等D版。,,0
美国队长2 短评,clair,2015/2/20,居然没标,浙江杭州,0
美国队长2 短评,八云,2015/2/20,小妹看了说不错，找个时间去看看,,0
功夫熊猫2 短评,Fiona,2010/5/4,特别特别有爱的电影 3D版的阿宝毛茸茸的 真口耐,北京,0
功夫熊猫2 短评,切克挠挠,2010/5/4,中国的熊猫给了中国人当头一棒，不知道一直受广电呵护的中国导演们做何感想？从变3和哈7为建党伟业让路上，我看到的是心虚。,,0
鸿门宴传奇 短评,放开那个浪味仙,2011/11/30,http://115.3i8i.net/6882.asp,北京,0
功夫熊猫2 短评,逻姬恨剧透,2010/5/4,粤语配音,,0
鸿门宴传奇 短评,LoVe,2011/11/30,bhk30kf5,北京,0
美国队长2 短评,朔夜,2015/2/20,艾玛反派是列王纪里面的受受小王子！！,江苏南京,0
美国队长2 短评,青泥,2015/2/20,全篇剧透：“巴基～！！！”“谁他妈是巴基，我是神秘反派。”,云南昆明,0
美国队长2 短评,没吃饱,2015/2/20,http://www.bilibili.com/video/av1412802/,,0
鸿门宴传奇 短评,品三笑笑生,2011/11/30,http://www.m1905.com/vod/play/486668.shtml,北京,0
窃听风云2 短评,机器瞄,2011/8/18,2-2.5,湖北武汉,0
美国队长2 短评,高端户口北溟鱼,2015/2/20,去芝加哥看美队！,"Tel Aviv-Yafo, Israel",0
鸿门宴传奇 短评,劳勃·拜拉席恩,2011/11/30,刚看完项羽和刘邦再看这剧情简介还真是瞎掉狗眼,,0
窃听风云2 短评,Nancy,2011/8/18,7.8,山东济南,0
功夫熊猫2 短评,必胜少女挖煤,2010/5/4,真感人...坐我旁边的那位都哭了 我都睡着了快,,0
美国队长2 短评,LAURIA,2015/2/20,没错，我就是冲着Scarlett去的！,香港,0
美国队长2 短评,花香袭人,2015/2/20,看到这8.2的评分，我狠心动。,,0
鸿门宴传奇 短评,J,2011/11/30,尽管毁誉参半还是想看,,0
美国队长2 短评,杨扬,2015/2/20,从去年到今年，美国人一共毁灭了多少次世界，又拯救了多少次世界？我都麻木了……,,0
功夫熊猫2 短评,今生、唯爱,2010/5/4,已下 8.1动画,浙江丽水,0
窃听风云2 短评,安锤,2011/8/18,"ORZ, 第一集 他們不是死光了嗎?!!! 怎麼還有第二集???","Stockholm, Sweden",0
功夫熊猫2 短评,Tao Project,2010/5/4,http://www.youku.com/show_page/id_zcc14ac1e962411de83b1.html,四川成都,0
美国队长2 短评,我们去吃草莓吧,2015/2/20,快出BD，电影院没字幕，我初中的英语水平撑到现在已经很吃力了！,四川成都,0
鸿门宴传奇 短评,溥林,2011/11/30,张良爷爷讲故事,北京,0
功夫熊猫2 短评,云大琪,2010/5/4,看到预告片。。。心动了哈哈,"Sydney, Australia",0
功夫熊猫2 短评,Mr. D,2010/5/4,第二集要揭开的最大秘密是——阿宝的爸爸为什么是一只鸭子。,,
,,,,,
"-------原来阿宝的爸爸赎身从良后才开始卖面的？！""",广东肇庆,0,,,
功夫熊猫2 短评,WHO IS BINBIN,2010/5/4,好想好想看，还记得那个暑假一个人在影院笑得那么滴开心~！,广东广州,0
窃听风云2 短评,胖死の兔纸,2011/8/18,有点期待~,天津,0
鸿门宴传奇 短评,生ける屍,2011/11/30,突然赶脚风邵峰不错诶。,"Kyoto, Japan",0
窃听风云2 短评,Ssooo,2011/8/18,2014.6.7,,
wiv Cynthia @ Jockey Club," Beijing""",,0,,
鸿门宴传奇 短评,Streamline,2011/11/30,"DVD available at BANQ. However, only dialogues in Mandarin are available, which are Mandarin 5.1 Dolby Digital and Mandarin 2.0 Stereo. No Cantonese version, which is significantly better, is available!",,0
功夫熊猫2 短评,尼洋❀曼陀果,2010/5/4,作为把大陆人从6岁开始一直到死都不断洗脑的“中宣部”，居然还洗不过千里迢迢漂洋过海来的一部好莱坞动画片，我深感同情。,广东广州,0
窃听风云2 短评,飞里克思,2011/8/18,期待~~,,0
窃听风云2 短评,伊泽,2011/8/18,期待,北京,0
功夫熊猫2 短评,伊泽,2010/5/4,沉浸在技术分析里面  很想参与一次类似的制作,北京,0
窃听风云2 短评,大爷好粗~撸,2011/8/18,等会给大家上 窃听风云2 BT+离线下载地址。哈哈哈哈,浙江宁波,0
窃听风云2 短评,李耳朵,2011/8/18,准备看看··,北京,0
窃听风云2 短评,糖糕儿,2011/8/18,坟蛋，把张静初换成黄奕，不想看了(o#゜ 曲゜)o ~,北京,0
窃听风云2 短评,兔子扑满酱,2011/8/18,所有人都说好看~~我也想去卡,北京,0
窃听风云2 短评,曼珠沙华,2011/8/18,标记,湖南长沙,0
鸿门宴传奇 短评,妖子_,2011/11/30,尼玛野生老王和老谢啊！！！,上海,0
窃听风云2 短评,Jo,2011/8/18,最近被各种好评啊。。。,香港,0
鸿门宴传奇 短评,磨刀只为砍柴,2011/11/30,看了预告片，感觉还不错,,0
窃听风云2 短评,自然,2011/8/18,对吴古无感怎么办,Aland Islands,0
鸿门宴传奇 短评,Yiee,2011/11/30,同学推荐。,"Paris, France",0
鸿门宴传奇 短评,深蓝色幽默,2011/11/30,评论各种混战啊，又有大量只看过这一部电影的僵尸马甲……不搞这些伪口碑会死啊？,江苏南京,0
鸿门宴传奇 短评,一只k,2011/11/30,其实我比较期待陆川版本。学校电影院都能放了。,上海,0
鸿门宴传奇 短评,biubiu格☺,2011/11/30,??,湖北武汉,0
鸿门宴传奇 短评,她乡,2011/11/30,不知道改编的尺度大不大,北京,0
鸿门宴传奇 短评,多多,2011/11/30,早上车上FM93一直在说这个是贺岁大档，很想去看看。周四首映吧？,浙江台州,0
美国队长2 短评,有自己的思想,2016/4/2,总感觉几部美国大片我都看过好纠结,,0
美国队长2 短评,仰止峰散人,2016/4/2,"要不是有罗伯特雷德福,我才不想看呢。。。。敢不敢再傲娇一点",,0
鸿门宴传奇 短评,竹或子,2011/11/30,李仁港又来了，哈哈哈哈哈,北京,0
功夫熊猫2 短评,低端人狗嗷嗷叫,2010/12/20,第二集要揭开的最大秘密是——阿宝的爸爸为什么是一只鸭子。,"Toronto, Canada",0
美国队长2 短评,Leojane(阿猪),2016/4/2,据说又是相爱相杀？,浙江杭州,0
鸿门宴传奇 短评,Robotcat,2011/11/30,听说秋生哥的片不是大烂片就是牛逼片。估计鸿门宴又是烂片了，看了再说。,北京,0
功夫熊猫2 短评,鹿鹿鹿,2010/12/20,好想看啊！！没人跟我看啊/(ㄒoㄒ)/~~,,0
鸿门宴传奇 短评,霸王硬上龙,2011/11/30,鸿门宴 李仁港 我操NMB 还钱！！太差了！！！,上海,0
美国队长2 短评,奈奈奈若何,2016/4/2,忘了是谁曾说过我是他的美国队长,江苏苏州,0
功夫熊猫2 短评,[已注销],2010/12/20,有个人说自己是功夫熊猫 然后冲过来 打我 然后 抱紧我,,0
功夫熊猫2 短评,YN!ngC,2010/12/20,内网自从哥从那里下了以后几乎都没更新过什么电影~,浙江宁波,0
鸿门宴传奇 短评,喵呜~未清明,2011/11/30,听说完爆最后的晚餐,四川成都,0
功夫熊猫2 短评,铁蛋,2010/12/20,续集一般都比不上第一部，但很多人都说这部2比1好看，所以很期待。。。,,0
功夫熊猫2 短评,严莫,2010/12/20,周末有时间没？,北京,0
功夫熊猫2 短评,Cherry。,2010/12/20,明天就六一了....但谁能告诉我票价多少啊!!!!我好想翻山越岭的逃课去装小盆友啊!!,,0
美国队长2 短评,粢饭糕,2016/4/2,教练我想看电影！！！！QAAAAAAAAQ,"Providence, United States",0
功夫熊猫2 短评,KLNC,2010/12/20,人家的历史不过300年，为什么就能对别的民族文化理解如此到位，相反拥有5000年的文明大国连自己电影的基本叙事都做不好，叫人情何以堪,安徽芜湖,0
功夫熊猫2 短评,爱幻想的小兔丫,2010/12/20,某人注意了！星期五去买票，我要看这个！！！大菜菜肯定也喜欢滴。,上海,0
功夫熊猫2 短评,启酱037,2010/12/20,果然，我就说蛮，从遗传学上，鸭子是不可能生出熊猫的。阿宝的身世到底是什么，真想知道。。。,,0
美国队长2 短评,杯子的猫 顺手,2016/4/2,期待我大(胸)美队的逆袭！！！,"Hiroshima, Japan",0
美国队长2 短评,苏打*泡,2016/4/2,分竟然这么高？？？我去看看,,0
功夫熊猫2 短评,楚神轩,2010/12/20,真的挺不错的,湖北武汉,0
美国队长2 短评,吃了没,2016/4/2,marvel真爱粉,,0
美国队长2 短评,向日葵,2016/4/2,想去看看这样的片子，来放松一下！可尼玛，要在家带女儿啊！！！,,0
功夫熊猫2 短评,匿匿匿匿,2010/12/20,想看来着~~因为看过一所以一定要看二!!话说里面有3分钟的阿宝小时候的样子~看过网上照片!!!巨萌!!!!啊哟喂!!!上个礼拜犯错误所以没看到电影....T T...总之在上映期间一定要看!!!!,,0
美国队长2 短评,白露横江,2016/4/2,脑残粉先打5星，静候我大美队！,,0
功夫熊猫2 短评,晨酱。,2010/12/20,说实话，我只是很好奇阿宝的身世，这是我想看的源动力。,北京,0
美国队长2 短评,不知道啊啊啊,2016/4/2,啊啊啊,,0
美国队长2 短评,小丑,2016/4/2,想看,广东广州,0
美国队长2 短评,Corrine,2016/4/2,终于上映啦！,江苏南京,0
功夫熊猫2 短评,一反木绵,2010/12/20,沈王爷的拟人好精彩哈哈哈哈。。,,0
美国队长2 短评,掉线达人,2016/4/2,去电影院看别的电影的时候听到旁边有人说【美！队！】【美！队！】……然后他们都坠机了- -,,0
美国队长2 短评,豆瓣酱,2016/4/2,mark,,0
美国队长2 短评,mei乐yang,2016/4/2,好看,,0
窃听风云2 短评,坐地铁的流浪猫,2011/8/18,虽然一没看过 哈哈哈,北京,0
功夫熊猫2 短评,老虎,2010/12/20,配音的真容很强大！！,上海,0
美国队长2 短评,Gwen滚,2016/4/2,想看下美国版雷锋或者张思德，更重要是黑寡妇的声音,浙江杭州,0
窃听风云2 短评,行走的笔尖,2011/8/18,姜是老的辣！,安徽合肥,0
功夫熊猫2 短评,Lightning,2010/12/20,好想看，但估计是没法去电影院看了,浙江杭州,0
窃听风云2 短评,ChloeK,2011/8/18,坐等吴彦祖！！！！,,0
功夫熊猫2 短评,⚡,2010/12/20,滾滾醬甚麼時候來鬼島嘛。。。純粹被寂寞大叔的配樂擊倒,香港,0
窃听风云2 短评,？,2011/8/18,冲着cast,北京,0
功夫熊猫2 短评,李崇畅,2010/12/20,啊，这只熊猫不是太可爱~但是只要是美国的动画电影，大都很好看~,北京,0
美国队长2 短评,文狷纹涓,2016/4/2,队长,北京,0
美国队长2 短评,就是喜欢听,2016/4/2,听说这部是不错的,,0
美国队长2 短评,短歌一曲江湖白,2016/4/2,记不清1说了啥但是记得1是不好看的,,0
窃听风云2 短评,memono,2011/8/18,下周三！,"London (Canada), Canada",0
功夫熊猫2 短评,瓷修,2010/12/20,我要弄清楚沈王爷是谁！！！,,0
功夫熊猫2 短评,画窗,2010/12/20,一直很好奇沈王爷,,0
窃听风云2 短评,愚人者,2011/8/18,总体评价是近期国内新片最高了，但仍有部分人斥为“烂片不远”，军训回来看,江苏无锡,0
窃听风云2 短评,Trista,2011/8/18,如果我说是纯粹冲着男演员们才去影院 会不会很邪恶～,,0
窃听风云2 短评,L-cv,2011/8/18,看起来很不错的样子,陕西西安,0
窃听风云2 短评,非齐小白,2011/8/18,卖腐？,,0
窃听风云2 短评,美洲豹头上的花,2011/8/18,为了曾江和江毅,香港,0
窃听风云2 短评,olala。,2011/8/18,三位影帝！,,0
窃听风云2 短评,Sophie Ren,2011/8/18,矮油，想和你一起看~,湖北武汉,0
窃听风云2 短评,嗯,2011/8/18,什么时候有时间呢,山东济南,0
窃听风云2 短评,刚大木,2011/8/18,以前看过窃听风云1 知道2上映的时候特意跟朋友看的 很好看 多一点这样的电影中国电影就有救了,广东佛山,0
窃听风云2 短评,cheney,2011/8/18,对这部片提不起兴致，阔四N多银讲好看，窃1我都没觉得怎么没样，有空阔以看看。。。,,0
窃听风云2 短评,梁伟昌素小菇凉,2011/8/18,！！！！,浙江宁波,0
鸿门宴传奇 短评,何出此言,2011/11/21,有陈小春和黄秋生，我其实还挺想看的。,北京,0
窃听风云2 短评,启酱037,2011/8/18,同学说的，还不错。。。准备看。,,0
鸿门宴传奇 短评,唱游,2011/11/21,逮住国产电影不分青红皂白的就骂的真是傻逼。还骂刘亦菲。说刘亦菲糟蹋美人，让你妈演就不糟蹋了吗,湖南长沙,0
鸿门宴传奇 短评,Rivean,2011/11/21,李仁港这厮有哪怕一点点文化吗？说香港文化沙漠，大概说的应该就是李这种人吧。李有哪怕一部好片么？为什么还一而再再而三的有投资人上当？,,0
窃听风云2 短评,我个乖怪,2011/8/18,在半懂半不懂之间，一切真相大白，演技赞一个。,上海,0
窃听风云2 短评,gzrunman,2011/8/18,如果有机会重来，司马念祖本来不用这样花大力气牛刀杀鸡。,,0
鸿门宴传奇 短评,白暖暖,2011/11/21,一看到刘亦菲那虞姬造型，我什么想法都没了=V=只能说，楚霸王看中的女子若只这等姿色，真是瞎了眼……,上海,0
鸿门宴传奇 短评,ranaaaaaaa,2011/11/21,在大巴车上看了后半段  被冯绍锋惊艳到了 真的很贵气逼人  大而不二这个影评写的很好 我觉得豆瓣有才人真的太多了 看完影评我觉得我无话可说只好五体投地了 只是这个他两死的剧情改让我觉得没有原著震撼,,0
窃听风云2 短评,宇航员炮灰,2011/8/18,怎么会是原班人马。。。,,0
鸿门宴传奇 短评,请叫我无知,2011/11/21,我特别纳闷，这片儿还没出，这些评论都是从哪儿来的？,甘肃天水,0
鸿门宴传奇 短评,湖邊的卡夫卡,2011/11/21,其实看到导演是李仁港我就有点怵，不知道这部历史题材的片子又会被他YY成神马样子……,北京,0
鸿门宴传奇 短评,kclwp,2011/11/21,李仁港的片也算是出名了，大家还在和他较真历史吗，在他眼里必要的时候连人名都可以瞎编的啊，大家就当个故事片看就行了，还真当历史剧啊！,,0
鸿门宴传奇 短评,oo,2011/11/21,有黃生哦,广东深圳,0
鸿门宴传奇 短评,小虫,2011/11/21,刘亦菲露两点10秒以上的话，我肯定去看！！,,0
鸿门宴传奇 短评,浅彩虹和向日葵,2011/11/21,冯绍峰看着让人蛋疼。,,0
鸿门宴传奇 短评,外星人灬SteLla,2011/11/21,看这阵容  就不想看了。,,0
鸿门宴传奇 短评,空一格,2011/11/21,这种毁历史的片子怎么都要看一看下限~,,0
鸿门宴传奇 短评,蜜兔,2011/11/21,能让他死而瞑目的，只有我虞姬一个人。,,0
鸿门宴传奇 短评,GordonSJTU,2011/11/21,看看海报和演员阵容就没有看下去的欲望了,,0
美国队长2 短评,流垠,2014/3/29,队长快来！！！,云南昆明,0
鸿门宴传奇 短评,裴锦素,2011/11/21,"歷史題材都要用爛了好麼,拍來拍去逃不了爛這個字了...........",浙江杭州,0
美国队长2 短评,查理理,2014/3/29,衝著美國隊長所以特別想看的～,,0
鸿门宴传奇 短评,sky快跑,2011/11/21,张良选角不给力啊,,0
鸿门宴传奇 短评,阿狸的天空城堡,2011/11/21,历史故事，不是历史剧，认真就输了。轻松点，中国电影解读历史并不都是史记,上海,0
美国队长2 短评,southstarj,2014/3/29,科幻粉把持不住了。,北京,0
美国队长2 短评,自在如疯的少年,2014/3/29,为了看男猪脚的颜再继续下载2【鼻血~~~~~,,0
鸿门宴传奇 短评,mj,2011/11/21,对所有被恶意贬低的国片充满好奇,上海,0
鸿门宴传奇 短评,tsingjie,2011/11/21,李仁港的电影其实是很好认的,,
见龙卸甲-英军MK式头盔,,,,,
锦衣卫-英军MK式头盔,,,,,
鸿门宴-英军MK式头盔,,,,,
"…………-英军MK式头盔""",,0,,,
美国队长2 短评,依言小屋,2014/3/29,其实这是米国爱国主义教育软广片来的,山东青岛,0
美国队长2 短评,伊伊宝宝,2014/3/29,1很渣，期待2,江苏南京,0
美国队长2 短评,Roy,2014/3/29,钱磊推荐,,0
美国队长2 短评,2saison,2014/3/29,就算这部片本身不怎么样 但是克里斯埃文斯和斯嘉丽约翰逊的组合我不信你愿意错过。。,,0
功夫熊猫2 短评,种木槿的人,2011/6/6,也许你一开始的记忆是痛苦的不快乐的，但这并不能决定你的人生，你将来过着什么样的生活，全在于你自己的选择,河南郑州,0
美国队长2 短评,w380c,2014/3/29,想看,,0
美国队长2 短评,hexiaoyuzs,2014/3/29,传说Robin很帅~,,0
功夫熊猫2 短评,安小满,2011/6/6,很早前，陪小弟弟看天线宝宝就很爱Po这个名字，很有爱。看功夫熊猫一时一直在为“外国人娴熟运用中国元素”感到可惜，不过2还是很想看~想看他们还能多“中国”,河南洛阳,0
美国队长2 短评,F1do菲兜超人_,2014/3/29,帅,,0
美国队长2 短评,9003,2014/3/29,很期待新英雄猎鹰,,0
美国队长2 短评,草履权贵,2014/3/29,想看美2还是先把美1看完吧，身边的基友都推介这个片子,,0
功夫熊猫2 短评,Da.,2011/6/6,未下 在“剧”乐视,上海,0
窃听风云2 短评,哆墨唧。,2011/8/17,彦祖咩~,浙江杭州,0
功夫熊猫2 短评,艾玛玛大王,2011/6/6,想看想看想看想看想看想看呐呐呐呐呐呐！！！！！！！！,上海,0
美国队长2 短评,铁蛇狂舞,2014/3/29,2016-06-25佳片有约推荐，因看欧洲杯错过。,山西太原,0
窃听风云2 短评,冷血摩羯团长,2011/8/17,小祖祖 必须看,Monaco,0
功夫熊猫2 短评,坂田太太,2011/6/6,配音阵容太他妹华丽了 奥德曼 霍夫曼 靠 必须看！！！,上海,0
窃听风云2 短评,baaaao,2011/8/17,冲着吴彦祖想看,,0
功夫熊猫2 短评,Scarlett,2011/6/6,晚上八点突然想看阿宝。。。跑去电影院居然没看成。。。不会要下档了吧。。。,,0
窃听风云2 短评,小咖啡馆,2011/8/17,觉得一还行。,,0
窃听风云2 短评,时予,2011/8/17,有點興趣,广东深圳,0
功夫熊猫2 短评,英语渣,2011/6/6,拿中国文化包装卖给中国人 美国人你好啊,四川成都,0
功夫熊猫2 短评,ranran,2011/6/6,charlie kauffman 编剧？！？！ 有意思,"Sydney, Australia",0
窃听风云2 短评,...,2011/8/17,据说还挺好看的，明儿自己去看,澳门,0
功夫熊猫2 短评,神秘男子兰某,2011/6/6,票已经留出来了，就等2011年五月出片了,,0
窃听风云2 短评,氤氲一点红,2011/8/17,想去电影院看啊~好久没去了啊,Singapore,0
功夫熊猫2 短评,ifonly,2011/6/6,不能一起看了吧……真特么心酸,"Sevilla, Spain",0
美国队长2 短评,我的参与,2014/3/29,就,,0
窃听风云2 短评,DearJessica,2011/8/17,剧情可以浮云，有那三张脸就够了。,四川成都,0
美国队长2 短评,何皎皎,2014/3/29,好想去看呐_(:з」∠)_,新疆乌鲁木齐,0
功夫熊猫2 短评,排骨瘦jessi,2011/6/6,想生日的时候去看，不知道那天还有没有啊,湖南岳阳,0
美国队长2 短评,Tiffany,2014/3/29,3,,0
窃听风云2 短评,Kreuzung,2011/8/17,第一部还是很不错的这两年难得的港片,,0
窃听风云2 短评,王老师伤不起,2011/8/17,121,,0
功夫熊猫2 短评,大饼博士,2011/6/6,为了傻逼赵半狄，爷非看不可。,,0
窃听风云2 短评,害羞的小妍妍 ?,2011/8/17,与《窃听风云》是完全无关的故事，但其共同点是，虽然都是以“窃听”为题，但窃听都还是只作为一个噱头出现的。好多股票方面的还是不明白……【吴彦祖好性感】★☆,,0
美国队长2 短评,死孩子不壞™,2014/3/29,斯嘉丽的发型和GSP~~不能忍啊！！！,江苏南京,0
窃听风云2 短评,大胃鱼,2011/8/17,豆瓣这句简评亮了。。。,,0
窃听风云2 短评,Fay,2011/8/17,什么时候看啊= =,北京,0
功夫熊猫2 短评,yukale,2011/6/6,看上去挺值得期待的样子？周末去看好了~,山东青岛,0
美国队长2 短评,RUYI,2014/3/29,本来有“先看第一部好了”的想法，看了下评分还是算了,四川成都,0
窃听风云2 短评,精品,2011/8/17,权利的不受限制,,0
美国队长2 短评,January,2014/3/29,作为漫威系列的铁粉，必须要去给美队捧个场，快些结伴走起！,,0
窃听风云2 短评,[已注销],2011/8/17,看豆瓣评分还不错啦,,0
功夫熊猫2 短评,HAKUNA MATATA,2011/6/6,看来不错呀功夫熊猫2~,北京,0
功夫熊猫2 短评,have桃forever,2011/6/6,听说搞笑依旧，甚是想看,,0
功夫熊猫2 短评,hiromeo,2011/6/6,先前看了1说实话对2还是蛮期待的，就是最近一直忙考试无奈找不到时间去啊~,,0
窃听风云2 短评,HJ,2011/8/17,我品味越来越低了···,湖北十堰,0
窃听风云2 短评,巧雪,2011/8/17,啊！！！谁陪姐姐去看啊！！！！！！,,0
功夫熊猫2 短评,JannaQ,2011/6/6,只要花几十块钱就可以有90分钟专心致志地笑吗？这只外国熊猫 先M,北京,0
功夫熊猫2 短评,一起X口味,2011/6/6,有个机会一定想看看。。。想看国产的。。。。,,0
