影片名,姓名,演职人员,代表作,评分,性别,星座,出生日期,出生地,职业
变形金刚3 Transformers: Dark of the Moon,罗茜·汉丁顿-惠特莉,演员,变形金刚3,7,女,白羊座,1987/4/18,"英国,英格兰,德文郡",演员 / 副导演
变形金刚3 Transformers: Dark of the Moon,罗茜·汉丁顿-惠特莉,演员,疯狂的麦克斯4：狂暴之路,,女,白羊座,1987/4/18,"英国,英格兰,德文郡",演员 / 副导演
变形金刚3 Transformers: Dark of the Moon,罗茜·汉丁顿-惠特莉,演员,维多利亚的秘密2010时装秀,8.6,女,白羊座,1987/4/18,"英国,英格兰,德文郡",演员 / 副导演
变形金刚3 Transformers: Dark of the Moon,乔什·杜哈明,演员,变形金刚,8.1,男,天蝎座,1972/11/14,"美国,北达科他,迈诺特",演员 / 导演 / 编剧
变形金刚3 Transformers: Dark of the Moon,乔什·杜哈明,演员,变形金刚2,7.6,男,天蝎座,1972/11/14,"美国,北达科他,迈诺特",演员 / 导演 / 编剧
变形金刚3 Transformers: Dark of the Moon,乔什·杜哈明,演员,变形金刚3,7,男,天蝎座,1972/11/14,"美国,北达科他,迈诺特",演员 / 导演 / 编剧
变形金刚3 Transformers: Dark of the Moon,泰瑞斯·吉布森,演员,速度与激情7,8.3,男,摩羯座,1978/12/30,"美国,加利福尼亚州,洛杉矶,瓦宿舍",演员 / 制片
变形金刚3 Transformers: Dark of the Moon,泰瑞斯·吉布森,演员,变形金刚,8.1,男,摩羯座,1978/12/30,"美国,加利福尼亚州,洛杉矶,瓦宿舍",演员 / 制片
变形金刚3 Transformers: Dark of the Moon,泰瑞斯·吉布森,演员,变形金刚2,7.6,男,摩羯座,1978/12/30,"美国,加利福尼亚州,洛杉矶,瓦宿舍",演员 / 制片
变形金刚3 Transformers: Dark of the Moon,约翰·马尔科维奇,演员,变形金刚3,7,男,射手座,1953/12/9,"美国,伊利诺伊州,克里斯托弗",演员 / 制片 / 导演 / 编剧
变形金刚3 Transformers: Dark of the Moon,约翰·马尔科维奇,演员,朱诺,7.9,男,射手座,1953/12/9,"美国,伊利诺伊州,克里斯托弗",演员 / 制片 / 导演 / 编剧
变形金刚3 Transformers: Dark of the Moon,约翰·马尔科维奇,演员,壁花少年,7.9,男,射手座,1953/12/9,"美国,伊利诺伊州,克里斯托弗",演员 / 制片 / 导演 / 编剧
变形金刚3 Transformers: Dark of the Moon,弗兰西斯·麦克多蒙德,演员,变形金刚3,7,女,巨蟹座,1957/6/23,"美国,伊利诺伊,芝加哥",演员 / 编剧
变形金刚3 Transformers: Dark of the Moon,弗兰西斯·麦克多蒙德,演员,马达加斯加3,8.2,女,巨蟹座,1957/6/23,"美国,伊利诺伊,芝加哥",演员 / 编剧
变形金刚3 Transformers: Dark of the Moon,弗兰西斯·麦克多蒙德,演员,一级恐惧,8.4,女,巨蟹座,1957/6/23,"美国,伊利诺伊,芝加哥",演员 / 编剧
变形金刚3 Transformers: Dark of the Moon,郑肯,演员,神偷奶爸,8.5,男,巨蟹座,1969/7/13,"美国,密歇根州,底特律",演员 / 配音 / 编剧
变形金刚3 Transformers: Dark of the Moon,郑肯,演员,神偷奶爸2,8,男,巨蟹座,1969/7/13,"美国,密歇根州,底特律",演员 / 配音 / 编剧
变形金刚3 Transformers: Dark of the Moon,郑肯,演员,变形金刚3,7,男,巨蟹座,1969/7/13,"美国,密歇根州,底特律",演员 / 配音 / 编剧
变形金刚3 Transformers: Dark of the Moon,凯文·杜恩,演员,变形金刚,,男,处女座,1956/8/24,"美国,伊利诺伊州,芝加哥",演员 / 导演 / 编剧
变形金刚3 Transformers: Dark of the Moon,凯文·杜恩,演员,变形金刚2,7.6,男,处女座,1956/8/24,"美国,伊利诺伊州,芝加哥",演员 / 导演 / 编剧
变形金刚3 Transformers: Dark of the Moon,凯文·杜恩,演员,变形金刚3,7,男,处女座,1956/8/24,"美国,伊利诺伊州,芝加哥",演员 / 导演 / 编剧
变形金刚3 Transformers: Dark of the Moon,朱丽叶·怀特,演员,变形金刚,8.1,女,双子座,1961/6/4,"美国,加利福尼亚,圣地亚哥",演员
变形金刚3 Transformers: Dark of the Moon,朱丽叶·怀特,演员,变形金刚2,7.6,女,双子座,1961/6/4,"美国,加利福尼亚,圣地亚哥",演员
变形金刚3 Transformers: Dark of the Moon,朱丽叶·怀特,演员,变形金刚3,7,女,双子座,1961/6/4,"美国,加利福尼亚,圣地亚哥",演员
变形金刚3 Transformers: Dark of the Moon,帕特里克·德姆西,演员,变形金刚3,7,男,摩羯座,1966/1/13,"美国,缅因州,刘易斯顿",演员 / 导演 / 制片
变形金刚3 Transformers: Dark of the Moon,帕特里克·德姆西,演员,情人节,7,男,摩羯座,1966/1/13,"美国,缅因州,刘易斯顿",演员 / 导演 / 制片
变形金刚3 Transformers: Dark of the Moon,帕特里克·德姆西,演员,实习医生格蕾 第一季,8.8,男,摩羯座,1966/1/13,"美国,缅因州,刘易斯顿",演员 / 导演 / 制片
变形金刚3 Transformers: Dark of the Moon,艾伦·图代克,演员,疯狂动物城,9.2,男,双鱼座,1971/3/16,"美国,得克萨斯州,埃尔帕索",演员 / 导演 / 编剧
变形金刚3 Transformers: Dark of the Moon,艾伦·图代克,演员,超能陆战队,8.6,男,双鱼座,1971/3/16,"美国,得克萨斯州,埃尔帕索",演员 / 导演 / 编剧
变形金刚3 Transformers: Dark of the Moon,艾伦·图代克,演员,冰雪奇缘,8.3,男,双鱼座,1971/3/16,"美国,得克萨斯州,埃尔帕索",演员 / 导演 / 编剧
最强囍事,秦小珍,导演,纵横四海,8.7,女,,,"中国,香港",导演 / 编剧 / 制片 / 副导演
最强囍事,秦小珍,导演,纵横四海,,女,,,"中国,香港",导演 / 编剧 / 制片 / 副导演
最强囍事,秦小珍,导演,神话,6.3,女,,,"中国,香港",导演 / 编剧 / 制片 / 副导演
最强囍事,秦小珍,导演,四大名捕,,女,,,"中国,香港",导演 / 编剧 / 制片 / 副导演
最强囍事,陈庆嘉,导演,英雄本色,,男,,,香港,编剧 / 制片 / 导演
最强囍事,陈庆嘉,导演,最强囍事,5.2,男,,,香港,编剧 / 制片 / 导演
最强囍事,陈庆嘉,导演,千机变,5.7,男,,,香港,编剧 / 制片 / 导演
最强囍事,张柏芝,演员,喜剧之王,8.5,女,双子座,1980/5/24,香港,演员 / 制片
最强囍事,张柏芝,演员,少林足球,7.4,女,双子座,1980/5/24,香港,演员 / 制片
最强囍事,张柏芝,演员,河东狮吼,6.7,女,双子座,1980/5/24,香港,演员 / 制片
最强囍事,秦小珍,导演,纵横四海,8.7,女,,,"中国,香港",导演 / 编剧 / 制片 / 副导演
最强囍事,秦小珍,导演,神话,6.3,女,,,"中国,香港",导演 / 编剧 / 制片 / 副导演
最强囍事,秦小珍,导演,四大名捕,,女,,,"中国,香港",导演 / 编剧 / 制片 / 副导演
最强囍事,陈庆嘉,导演,英雄本色,8.6,男,,,香港,编剧 / 制片 / 导演
最强囍事,陈庆嘉,导演,最强囍事,5.2,男,,,香港,编剧 / 制片 / 导演
最强囍事,陈庆嘉,导演,千机变,5.7,男,,,香港,编剧 / 制片 / 导演
最强囍事,张柏芝,演员,喜剧之王,,女,双子座,1980/5/24,香港,演员 / 制片
最强囍事,张柏芝,演员,少林足球,,女,双子座,1980/5/24,香港,演员 / 制片
最强囍事,张柏芝,演员,河东狮吼,,女,双子座,1980/5/24,香港,演员 / 制片
最强囍事,古天乐,演员,单身男女,6.8,男,天秤座,1970/10/21,香港,演员 / 编剧 / 制片
最强囍事,古天乐,演员,宝贝计划,,男,天秤座,1970/10/21,香港,演员 / 编剧 / 制片
最强囍事,古天乐,演员,窃听风云,,男,天秤座,1970/10/21,香港,演员 / 编剧 / 制片
最强囍事,甄子丹,演员,画皮,6.5,男,狮子座,1963/7/27,"中国,广东,广州",演员 / 动作指导 / 导演 / 制片
最强囍事,甄子丹,演员,十月围城,7.7,男,狮子座,1963/7/27,"中国,广东,广州",演员 / 动作指导 / 导演 / 制片
最强囍事,甄子丹,演员,叶问,7.5,男,狮子座,1963/7/27,"中国,广东,广州",演员 / 动作指导 / 导演 / 制片
最强囍事,刘嘉玲,演员,让子弹飞,,女,射手座,1965/12/8,"中国,江苏,苏州",演员 / 服装设计 / 制片
最强囍事,刘嘉玲,演员,射雕英雄传之东成西就,,女,射手座,1965/12/8,"中国,江苏,苏州",演员 / 服装设计 / 制片
最强囍事,刘嘉玲,演员,东邪西毒,,女,射手座,1965/12/8,"中国,江苏,苏州",演员 / 服装设计 / 制片
最强囍事,黄百鸣,演员,家有喜事,8.1,男,白羊座,1946/4/8,"香港,九龙",演员 / 编剧 / 导演 / 制片
最强囍事,黄百鸣,演员,最强囍事,,男,白羊座,1946/4/8,"香港,九龙",演员 / 编剧 / 导演 / 制片
最强囍事,黄百鸣,演员,阿郎的故事,,男,白羊座,1946/4/8,"香港,九龙",演员 / 编剧 / 导演 / 制片
最强囍事,闫妮,演员,捉妖记,6.8,女,双鱼座,1971/3/10,"中国,陕西,西安",演员 / 配音 / 导演
最强囍事,闫妮,演员,罗曼蒂克消亡史,,女,双鱼座,1971/3/10,"中国,陕西,西安",演员 / 配音 / 导演
最强囍事,闫妮,演员,归来,7.7,女,双鱼座,1971/3/10,"中国,陕西,西安",演员 / 配音 / 导演
最强囍事,熊黛林,演员,叶问,7.5,女,天秤座,1981/10/10,"中国,江苏,南京",演员
最强囍事,熊黛林,演员,摆渡人,4,女,天秤座,1981/10/10,"中国,江苏,南京",演员
最强囍事,熊黛林,演员,叶问2：宗师传奇,,女,天秤座,1981/10/10,"中国,江苏,南京",演员
最强囍事,杨颖,演员,寻龙诀,7.5,女,双鱼座,1989/2/28,"中国,上海",演员
最强囍事,杨颖,演员,全城热恋,6.3,女,双鱼座,1989/2/28,"中国,上海",演员
最强囍事,杨颖,演员,桃姐,8.3,女,双鱼座,1989/2/28,"中国,上海",演员
最强囍事,汪圆圆,演员,西游记之大闹天宫,4.1,女,,,中国，上海,演员 / 导演
最强囍事,汪圆圆,演员,最强囍事,5.2,女,,,中国，上海,演员 / 导演
最强囍事,汪圆圆,演员,导火线,6.9,女,,,中国，上海,演员 / 导演
最强囍事,秦小珍,导演,纵横四海,,女,,,"中国,香港",导演 / 编剧 / 制片 / 副导演
最强囍事,秦小珍,导演,神话,,女,,,"中国,香港",导演 / 编剧 / 制片 / 副导演
最强囍事,秦小珍,导演,四大名捕,,女,,,"中国,香港",导演 / 编剧 / 制片 / 副导演
最强囍事,陈庆嘉,导演,英雄本色,,男,,,香港,编剧 / 制片 / 导演
最强囍事,陈庆嘉,导演,最强囍事,,男,,,香港,编剧 / 制片 / 导演
最强囍事,陈庆嘉,导演,千机变,,男,,,香港,编剧 / 制片 / 导演
最强囍事,张柏芝,演员,喜剧之王,8.5,女,双子座,1980/5/24,香港,演员 / 制片
最强囍事,张柏芝,演员,少林足球,,女,双子座,1980/5/24,香港,演员 / 制片
最强囍事,张柏芝,演员,河东狮吼,6.7,女,双子座,1980/5/24,香港,演员 / 制片
最强囍事,古天乐,演员,单身男女,6.8,男,天秤座,1970/10/21,香港,演员 / 编剧 / 制片
最强囍事,古天乐,演员,宝贝计划,,男,天秤座,1970/10/21,香港,演员 / 编剧 / 制片
最强囍事,古天乐,演员,窃听风云,7.4,男,天秤座,1970/10/21,香港,演员 / 编剧 / 制片
最强囍事,甄子丹,演员,画皮,,男,狮子座,1963/7/27,"中国,广东,广州",演员 / 动作指导 / 导演 / 制片
最强囍事,甄子丹,演员,十月围城,7.7,男,狮子座,1963/7/27,"中国,广东,广州",演员 / 动作指导 / 导演 / 制片
最强囍事,甄子丹,演员,叶问,,男,狮子座,1963/7/27,"中国,广东,广州",演员 / 动作指导 / 导演 / 制片
最强囍事,刘嘉玲,演员,让子弹飞,8.7,女,射手座,1965/12/8,"中国,江苏,苏州",演员 / 服装设计 / 制片
最强囍事,刘嘉玲,演员,射雕英雄传之东成西就,,女,射手座,1965/12/8,"中国,江苏,苏州",演员 / 服装设计 / 制片
最强囍事,刘嘉玲,演员,东邪西毒,8.6,女,射手座,1965/12/8,"中国,江苏,苏州",演员 / 服装设计 / 制片
最强囍事,黄百鸣,演员,家有喜事,8.1,男,白羊座,1946/4/8,"香港,九龙",演员 / 编剧 / 导演 / 制片
最强囍事,黄百鸣,演员,最强囍事,,男,白羊座,1946/4/8,"香港,九龙",演员 / 编剧 / 导演 / 制片
最强囍事,黄百鸣,演员,阿郎的故事,,男,白羊座,1946/4/8,"香港,九龙",演员 / 编剧 / 导演 / 制片
最强囍事,闫妮,演员,捉妖记,,女,双鱼座,1971/3/10,"中国,陕西,西安",演员 / 配音 / 导演
最强囍事,闫妮,演员,罗曼蒂克消亡史,7.7,女,双鱼座,1971/3/10,"中国,陕西,西安",演员 / 配音 / 导演
最强囍事,闫妮,演员,归来,,女,双鱼座,1971/3/10,"中国,陕西,西安",演员 / 配音 / 导演
最强囍事,熊黛林,演员,叶问,7.5,女,天秤座,1981/10/10,"中国,江苏,南京",演员
最强囍事,熊黛林,演员,摆渡人,,女,天秤座,1981/10/10,"中国,江苏,南京",演员
最强囍事,熊黛林,演员,叶问2：宗师传奇,7.2,女,天秤座,1981/10/10,"中国,江苏,南京",演员
最强囍事,杨颖,演员,寻龙诀,,女,双鱼座,1989/2/28,"中国,上海",演员
最强囍事,杨颖,演员,全城热恋,,女,双鱼座,1989/2/28,"中国,上海",演员
最强囍事,杨颖,演员,桃姐,,女,双鱼座,1989/2/28,"中国,上海",演员
最强囍事,汪圆圆,演员,西游记之大闹天宫,4.1,女,,,中国，上海,演员 / 导演
最强囍事,汪圆圆,演员,最强囍事,,女,,,中国，上海,演员 / 导演
最强囍事,汪圆圆,演员,导火线,6.9,女,,,中国，上海,演员 / 导演
最强囍事,郑中基,演员,越光宝盒,,男,双鱼座,1972/3/9,香港,演员 / 导演 / 作曲 / 配音 / 编剧
最强囍事,郑中基,演员,麦兜·当当伴我心,8.4,男,双鱼座,1972/3/9,香港,演员 / 导演 / 作曲 / 配音 / 编剧
最强囍事,郑中基,演员,四大名捕,,男,双鱼座,1972/3/9,香港,演员 / 导演 / 作曲 / 配音 / 编剧
最强囍事,李香琴,演员,家有喜事,,女,摩羯座,1930/1/13,澳门,演员 / 导演
最强囍事,李香琴,演员,最强囍事,5.2,女,摩羯座,1930/1/13,澳门,演员 / 导演
最强囍事,李香琴,演员,花田喜事2010,,女,摩羯座,1930/1/13,澳门,演员 / 导演
最强囍事,陈果,演员,全城热恋,6.3,男,白羊座,1959/4/15,"中国,广东",演员 / 导演 / 副导演 / 编剧 / 制片
最强囍事,陈果,演员,全球热恋,5.6,男,白羊座,1959/4/15,"中国,广东",演员 / 导演 / 副导演 / 编剧 / 制片
最强囍事,陈果,演员,逃学威龙2,7.2,男,白羊座,1959/4/15,"中国,广东",演员 / 导演 / 副导演 / 编剧 / 制片
最强囍事,阿朵,演员,最强囍事,5.2,女,白羊座,1978/4/17,"中国,湖南,吉首",演员
最强囍事,阿朵,演员,龙门镖局,7.4,女,白羊座,1978/4/17,"中国,湖南,吉首",演员
最强囍事,阿朵,演员,熊猫大侠,,女,白羊座,1978/4/17,"中国,湖南,吉首",演员
最强囍事,菁玮,演员,三人行,5.9,女,摩羯座,1988/12/30,中国广东顺德,演员
最强囍事,菁玮,演员,最强囍事,5.2,女,摩羯座,1988/12/30,中国广东顺德,演员
最强囍事,菁玮,演员,72家租客,6.7,女,摩羯座,1988/12/30,中国广东顺德,演员
最强囍事,陈曼娜,演员,整蛊专家,,女,天蝎座,1951/11/5,"中国,香港",演员
最强囍事,陈曼娜,演员,最强囍事,5.2,女,天蝎座,1951/11/5,"中国,香港",演员
最强囍事,陈曼娜,演员,我爱HK 开心万岁,7,女,天蝎座,1951/11/5,"中国,香港",演员
最强囍事,夏春秋,演员,最强囍事,,男,处女座,1931/9/20,香港,演员
最强囍事,夏春秋,演员,花田喜事2010,5.2,男,处女座,1931/9/20,香港,演员
最强囍事,夏春秋,演员,家有喜事2009,5.4,男,处女座,1931/9/20,香港,演员
最强囍事,杨诗敏,演员,踏血寻梅,7.4,女,射手座,,香港,演员 / 导演
最强囍事,杨诗敏,演员,最强囍事,,女,射手座,,香港,演员 / 导演
最强囍事,杨诗敏,演员,人约离婚后,6.1,女,射手座,,香港,演员 / 导演
最强囍事,卢觅雪,演员,激战,7.8,女,巨蟹座,1962/6/23,香港,演员
最强囍事,卢觅雪,演员,最强囍事,5.2,女,巨蟹座,1962/6/23,香港,演员
最强囍事,卢觅雪,演员,我爱HK 开心万岁,7,女,巨蟹座,1962/6/23,香港,演员
最强囍事,曾华倩,演员,最强囍事,5.2,女,狮子座,1965/8/6,香港,演员
最强囍事,曾华倩,演员,古灵精探,7.2,女,狮子座,1965/8/6,香港,演员
最强囍事,曾华倩,演员,大丈夫2,6.2,女,狮子座,1965/8/6,香港,演员
最强囍事,谭凯琪,演员,最强囍事,5.2,女,天秤座,1981/10/10,中国，香港,演员
最强囍事,谭凯琪,演员,盲侠大律师,,女,天秤座,1981/10/10,中国，香港,演员
最强囍事,谭凯琪,演员,EU超时任务,8.2,女,天秤座,1981/10/10,中国，香港,演员
最强囍事,鲍起静,演员,射雕英雄传之东成西就,8.7,女,巨蟹座,1949/7/20,香港,演员
最强囍事,鲍起静,演员,剑雨,7,女,巨蟹座,1949/7/20,香港,演员
最强囍事,鲍起静,演员,霍元甲,,女,巨蟹座,1949/7/20,香港,演员
最强囍事,邓丽欣,演员,越光宝盒,,女,天秤座,1983/10/15,香港,演员
最强囍事,邓丽欣,演员,不二神探,,女,天秤座,1983/10/15,香港,演员
最强囍事,邓丽欣,演员,最强囍事,,女,天秤座,1983/10/15,香港,演员
最强囍事,贾晓晨,演员,单身男女,,女,处女座,1982/9/20,"中国,山东,济南",演员 / 编剧
最强囍事,贾晓晨,演员,寒战,,女,处女座,1982/9/20,"中国,山东,济南",演员 / 编剧
最强囍事,贾晓晨,演员,夺命金,,女,处女座,1982/9/20,"中国,山东,济南",演员 / 编剧
最强囍事,何妙祺,编剧,美人鱼,6.8,女,,,,编剧
最强囍事,何妙祺,编剧,最强囍事,5.2,女,,,,编剧
最强囍事,何妙祺,编剧,人间喜剧,,女,,,,编剧
最强囍事,黄百鸣,编剧,家有喜事,8.1,男,白羊座,1946/4/8,"香港,九龙",演员 / 编剧 / 导演 / 制片
最强囍事,黄百鸣,编剧,最强囍事,,男,白羊座,1946/4/8,"香港,九龙",演员 / 编剧 / 导演 / 制片
最强囍事,黄百鸣,编剧,阿郎的故事,8.5,男,白羊座,1946/4/8,"香港,九龙",演员 / 编剧 / 导演 / 制片
关云长,麦兆辉,导演,无间道,,男,摩羯座,1965/1/1,香港,导演 / 编剧 / 演员 / 制片
关云长,麦兆辉,导演,窃听风云,,男,摩羯座,1965/1/1,香港,导演 / 编剧 / 演员 / 制片
关云长,麦兆辉,导演,无间道2,8.3,男,摩羯座,1965/1/1,香港,导演 / 编剧 / 演员 / 制片
关云长,庄文强,导演,无间道,,男,摩羯座,1968/1/1,,编剧 / 导演 / 演员
关云长,庄文强,导演,雏菊,8,男,摩羯座,1968/1/1,,编剧 / 导演 / 演员
关云长,庄文强,导演,窃听风云,7.4,男,摩羯座,1968/1/1,,编剧 / 导演 / 演员
关云长,甄子丹,演员,画皮,6.5,男,狮子座,1963/7/27,"中国,广东,广州",演员 / 动作指导 / 导演 / 制片
关云长,甄子丹,演员,十月围城,7.7,男,狮子座,1963/7/27,"中国,广东,广州",演员 / 动作指导 / 导演 / 制片
关云长,甄子丹,演员,叶问,7.5,男,狮子座,1963/7/27,"中国,广东,广州",演员 / 动作指导 / 导演 / 制片
关云长,姜文,演员,让子弹飞,8.7,男,摩羯座,1963/1/5,"中国,河北,唐山",演员 / 导演 / 制片 / 编剧 / 剪辑
关云长,姜文,演员,阳光灿烂的日子,8.7,男,摩羯座,1963/1/5,"中国,河北,唐山",演员 / 导演 / 制片 / 编剧 / 剪辑
关云长,姜文,演员,鬼子来了,9.2,男,摩羯座,1963/1/5,"中国,河北,唐山",演员 / 导演 / 制片 / 编剧 / 剪辑
关云长,孙俪,演员,画皮,6.5,女,天秤座,1982/9/26,"中国,上海",演员
关云长,孙俪,演员,分手大师,,女,天秤座,1982/9/26,"中国,上海",演员
关云长,孙俪,演员,后宫·甄嬛传,8.9,女,天秤座,1982/9/26,"中国,上海",演员
关云长,方中信,演员,非诚勿扰,,男,双鱼座,1963/3/17,澳门,演员 / 编剧
关云长,方中信,演员,窃听风云,7.4,男,双鱼座,1963/3/17,澳门,演员 / 编剧
关云长,方中信,演员,窃听风云2,7.5,男,双鱼座,1963/3/17,澳门,演员 / 编剧
关云长,李宗翰,演员,我不是潘金莲,6.7,男,天蝎座,1976/11/7,"中国,湖北,武汉",演员
关云长,李宗翰,演员,剑雨,,男,天蝎座,1976/11/7,"中国,湖北,武汉",演员
关云长,李宗翰,演员,关云长,4.9,男,天蝎座,1976/11/7,"中国,湖北,武汉",演员
关云长,赵柯,演员,关云长,4.9,女,水瓶座,1983/2/13,"中国,河南郑州",演员
关云长,赵柯,演员,无心法师,8.3,女,水瓶座,1983/2/13,"中国,河南郑州",演员
关云长,赵柯,演员,三国,7.5,女,水瓶座,1983/2/13,"中国,河南郑州",演员
关云长,王学兵,演员,将爱情进行到底,6.6,男,处女座,1971/9/6,"中国,新疆,乌鲁木齐",演员 / 导演
关云长,王学兵,演员,白日焰火,7.2,男,处女座,1971/9/6,"中国,新疆,乌鲁木齐",演员 / 导演
关云长,王学兵,演员,听风者,6.8,男,处女座,1971/9/6,"中国,新疆,乌鲁木齐",演员 / 导演
关云长,钱小豪,演员,关云长,,男,水瓶座,1963/1/26,香港,演员 / 导演
关云长,钱小豪,演员,僵尸,,男,水瓶座,1963/1/26,香港,演员 / 导演
关云长,钱小豪,演员,72家租客,,男,水瓶座,1963/1/26,香港,演员 / 导演
关云长,邵兵,演员,让子弹飞,,男,水瓶座,1968/2/15,"中国,浙江,杭州",演员 / 导演 / 编剧
关云长,邵兵,演员,非诚勿扰2,6.5,男,水瓶座,1968/2/15,"中国,浙江,杭州",演员 / 导演 / 编剧
关云长,邵兵,演员,神话,6.3,男,水瓶座,1968/2/15,"中国,浙江,杭州",演员 / 导演 / 编剧
关云长,董勇,演员,听风者,6.8,男,射手座,1968/12/15,"中国,浙江杭州",演员
关云长,董勇,演员,海洋天堂,,男,射手座,1968/12/15,"中国,浙江杭州",演员
关云长,董勇,演员,霍元甲,6.6,男,射手座,1968/12/15,"中国,浙江杭州",演员
关云长,王柏杰,演员,少年派的奇幻漂流,9,男,天秤座,1989/9/25,台湾,演员
关云长,王柏杰,演员,十月围城,7.7,男,天秤座,1989/9/25,台湾,演员
关云长,王柏杰,演员,建党伟业,,男,天秤座,1989/9/25,台湾,演员
关云长,李明,演员,关云长,,男,狮子座,1956/8/9,"中国,山西,永济",演员 / 导演
关云长,李明,演员,康熙王朝,9,男,狮子座,1956/8/9,"中国,山西,永济",演员 / 导演
关云长,李明,演员,举起手来！,6.4,男,狮子座,1956/8/9,"中国,山西,永济",演员 / 导演
关云长,聂远,演员,金陵十三钗,,男,双鱼座,1978/3/17,"中国,贵州,镇远",演员
关云长,聂远,演员,绣春刀,,男,双鱼座,1978/3/17,"中国,贵州,镇远",演员
关云长,聂远,演员,集结号,7.9,男,双鱼座,1978/3/17,"中国,贵州,镇远",演员
关云长,喻亢,演员,武侠,6.6,男,,,,演员
关云长,喻亢,演员,追龙,7.3,男,,,,演员
关云长,喻亢,演员,叶问3,,男,,,,演员
鸿门宴传奇,李仁港,导演,盗墓笔记,,男,金牛座,1960/4/27,香港,导演 / 编剧 / 艺术指导 / 演员 / 制片
鸿门宴传奇,李仁港,导演,锦衣卫,5.9,男,金牛座,1960/4/27,香港,导演 / 编剧 / 艺术指导 / 演员 / 制片
鸿门宴传奇,李仁港,导演,老男孩猛龙过江,5.7,男,金牛座,1960/4/27,香港,导演 / 编剧 / 艺术指导 / 演员 / 制片
鸿门宴传奇,黎明,演员,甜蜜蜜,,男,射手座,1966/12/11,"中国,北京",演员 / 编剧 / 导演 / 艺术指导
鸿门宴传奇,黎明,演员,十月围城,,男,射手座,1966/12/11,"中国,北京",演员 / 编剧 / 导演 / 艺术指导
鸿门宴传奇,黎明,演员,无间道3：终极无间,7.8,男,射手座,1966/12/11,"中国,北京",演员 / 编剧 / 导演 / 艺术指导
鸿门宴传奇,冯绍峰,演员,后会无期,7.1,男,天秤座,1978/10/7,"中国,上海",演员
鸿门宴传奇,冯绍峰,演员,非诚勿扰2,6.5,男,天秤座,1978/10/7,"中国,上海",演员
鸿门宴传奇,冯绍峰,演员,画皮2,,男,天秤座,1978/10/7,"中国,上海",演员
鸿门宴传奇,刘亦菲,演员,三生三世十里桃花,4,女,处女座,1987/8/25,"中国,湖北,武汉",演员
鸿门宴传奇,刘亦菲,演员,功夫之王,5.3,女,处女座,1987/8/25,"中国,湖北,武汉",演员
鸿门宴传奇,刘亦菲,演员,恋爱通告,5.9,女,处女座,1987/8/25,"中国,湖北,武汉",演员
鸿门宴传奇,张涵予,演员,老炮儿,7.9,男,射手座,1964/12/19,"中国,北京",演员 / 配音 / 制片
鸿门宴传奇,张涵予,演员,湄公河行动,,男,射手座,1964/12/19,"中国,北京",演员 / 配音 / 制片
鸿门宴传奇,张涵予,演员,风声,,男,射手座,1964/12/19,"中国,北京",演员 / 配音 / 制片
鸿门宴传奇,黄秋生,演员,无间道,9,男,处女座,1961/9/2,香港,演员 / 配音 / 导演 / 编剧
鸿门宴传奇,黄秋生,演员,不能说的秘密,,男,处女座,1961/9/2,香港,演员 / 配音 / 导演 / 编剧
鸿门宴传奇,黄秋生,演员,桃姐,8.3,男,处女座,1961/9/2,香港,演员 / 配音 / 导演 / 编剧
鸿门宴传奇,陈小春,演员,煎饼侠,6,男,巨蟹座,1967/7/8,"中国,广东,惠州",演员
